"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.170766100E-2,1.010000035E-1,7.199999690E-2,-1.080000028E-1,1.644658046E-1
1.667381800E-2,9.099999815E-2,9.000000358E-2,-2.500000000E-1,2.808576157E-1
2.163997200E-2,2.700000070E-2,1.499999966E-2,-6.100000069E-2,6.837397247E-2
2.660612500E-2,-2.199999988E-2,-1.799999923E-2,-4.899999872E-2,5.664803475E-2
3.157230500E-2,2.199999988E-2,1.300000027E-2,8.799999952E-2,9.163514565E-2
3.653845900E-2,-3.799999878E-2,-6.599999964E-2,-1.270000041E-1,1.480844384E-1
4.150461300E-2,-1.099999994E-2,-1.899999939E-2,-1.490000039E-1,1.506087685E-1
4.647097000E-2,6.000000052E-3,3.799999878E-2,-1.700000018E-1,1.742985959E-1
5.143689300E-2,1.600000076E-2,7.000000216E-3,-1.669999957E-1,1.679106864E-1
5.640328000E-2,2.300000004E-2,4.699999839E-2,-7.100000232E-2,8.819864047E-2
6.136943400E-2,2.600000054E-2,4.100000113E-2,-3.500000015E-2,5.984981313E-2
6.633535700E-2,-5.799999833E-2,-9.499999881E-2,-7.199999690E-2,1.325631892E-1
7.130172600E-2,1.799999923E-2,2.999999933E-2,-6.100000069E-2,7.032069408E-2
7.626764900E-2,2.999999933E-2,3.999999911E-2,-1.019999981E-1,1.135957724E-1
8.123380300E-2,5.700000003E-2,0.000000000E0,-1.570000052E-1,1.670269489E-1
8.620015200E-2,9.799999744E-2,-3.999999911E-2,-1.289999932E-1,1.668682045E-1
9.116607600E-2,7.000000030E-2,2.700000070E-2,6.000000052E-3,7.526619480E-2
9.613246000E-2,1.379999965E-1,0.000000000E0,-1.570000052E-1,2.090287078E-1
1.010985940E-1,2.899999917E-2,5.400000140E-2,-4.800000042E-2,7.785242541E-2
1.060647480E-1,2.000000095E-3,2.700000070E-2,-1.289999932E-1,1.318104635E-1
1.110308980E-1,2.899999917E-2,5.400000140E-2,-1.840000004E-1,1.939407132E-1
1.159970520E-1,2.000000095E-3,6.800000370E-2,-7.500000298E-2,1.012571032E-1
1.209632050E-1,1.250000000E-1,-5.400000140E-2,-1.840000004E-1,2.289039106E-1
1.259293870E-1,8.399999887E-2,4.100000113E-2,-1.019999981E-1,1.383510011E-1
1.308955410E-1,1.600000076E-2,2.700000070E-2,-1.159999967E-1,1.201707089E-1
1.358616950E-1,4.300000146E-2,1.089999974E-1,-2.109999955E-1,2.413524345E-1
1.408278480E-1,4.300000146E-2,4.100000113E-2,-1.430000067E-1,1.548515487E-1
1.457940020E-1,9.799999744E-2,8.200000226E-2,-1.289999932E-1,1.815736713E-1
1.507598940E-1,5.700000003E-2,2.700000070E-2,-7.500000298E-2,9.799490032E-2
1.557262780E-1,9.799999744E-2,8.200000226E-2,-8.900000155E-2,1.557209046E-1
1.606924320E-1,4.300000146E-2,-3.999999911E-2,-1.430000067E-1,1.545897861E-1
1.656586670E-1,7.000000030E-2,8.200000226E-2,-1.700000018E-1,2.013057402E-1
1.706247440E-1,8.399999887E-2,5.400000140E-2,-1.019999981E-1,1.427445255E-1
1.755908920E-1,8.399999887E-2,1.300000027E-2,-1.289999932E-1,1.544862391E-1
1.805570460E-1,1.379999965E-1,6.800000370E-2,-1.289999932E-1,2.007710084E-1
1.855232000E-1,8.399999887E-2,0.000000000E0,-1.979999989E-1,2.150813785E-1
1.904893570E-1,1.379999965E-1,8.200000226E-2,-6.100000069E-2,1.717236137E-1
1.954555880E-1,1.250000000E-1,4.100000113E-2,-1.019999981E-1,1.664632083E-1
2.004216650E-1,4.300000146E-2,-1.300000027E-2,-1.430000067E-1,1.498899664E-1
2.053878040E-1,4.300000146E-2,-2.600000054E-2,-7.000000216E-3,5.073460512E-2
2.103539580E-1,2.899999917E-2,1.300000027E-2,-1.979999989E-1,2.005342852E-1
2.153200980E-1,3.999999911E-2,7.599999756E-2,-1.159999967E-1,1.443329442E-1
2.202863290E-1,7.900000364E-2,4.399999976E-2,-1.030000001E-1,1.370620319E-1
2.252524820E-1,2.700000070E-2,7.100000232E-2,-1.030000001E-1,1.279804688E-1
2.302185730E-1,1.080000028E-1,3.000000026E-3,-8.900000155E-2,1.399785729E-1
2.351847270E-1,1.519999951E-1,1.169999987E-1,-7.599999756E-2,2.063225577E-1
2.401509580E-1,1.099999994E-1,7.599999756E-2,-8.900000155E-2,1.606144445E-1
2.451170930E-1,5.499999970E-2,-3.200000152E-2,-1.030000001E-1,1.210702279E-1
2.500832470E-1,1.099999994E-1,3.500000015E-2,-1.159999967E-1,1.636490119E-1
2.550494200E-1,8.900000155E-2,7.000000216E-3,-1.159999967E-1,1.463762259E-1
2.600154960E-1,1.159999967E-1,8.900000155E-2,-2.099999972E-2,1.477091720E-1
2.649816500E-1,4.800000042E-2,-4.699999839E-2,-1.030000001E-1,1.229715411E-1
2.699478670E-1,8.900000155E-2,4.800000042E-2,-1.030000001E-1,1.443398779E-1
2.749140210E-1,3.099999949E-2,-4.999999888E-3,-1.299999952E-1,1.337385462E-1
2.798801750E-1,4.500000179E-2,-1.899999939E-2,-1.430000067E-1,1.511125476E-1
2.848463430E-1,3.099999949E-2,3.500000015E-2,-1.570000052E-1,1.638139238E-1
2.898124200E-1,1.260000020E-1,-3.200000152E-2,-2.109999955E-1,2.478326022E-1
2.947786790E-1,1.600000076E-2,-4.000000190E-3,-1.159999967E-1,1.171665449E-1
2.997448330E-1,2.899999917E-2,-4.000000190E-3,-1.710000038E-1,1.734877554E-1
