"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.152061000E-3,6.700000167E-2,-5.200000107E-2,-5.000000075E-2,9.845303657E-2
1.502344000E-2,4.399999976E-2,-7.000000030E-2,-4.899999872E-2,9.610931222E-2
1.999028600E-2,-7.999999821E-2,5.600000173E-2,-3.599999845E-2,1.040768937E-1
2.495759300E-2,-8.000000380E-3,-2.500000037E-2,-8.000000380E-3,2.744084603E-2
2.992467900E-2,-4.800000042E-2,-1.499999966E-2,-3.599999845E-2,6.184658372E-2
3.489152600E-2,7.500000298E-2,4.800000042E-2,-1.480000019E-1,1.727223235E-1
3.985882300E-2,2.400000021E-2,4.500000179E-2,-6.300000101E-2,8.105553836E-2
4.482597700E-2,1.080000028E-1,1.110000014E-1,2.700000070E-2,1.572068731E-1
4.979305400E-2,5.400000140E-2,2.039999962E-1,-3.999999911E-2,2.147836086E-1
5.476005800E-2,6.100000069E-2,5.499999970E-2,-7.699999958E-2,1.125833024E-1
5.972721200E-2,3.400000185E-2,-3.900000080E-2,-7.599999756E-2,9.194019696E-2
6.469428900E-2,-4.399999976E-2,-7.100000232E-2,-1.309999973E-1,1.553640872E-1
6.966162500E-2,-3.900000080E-2,-9.999999776E-3,-1.040000021E-1,1.115213007E-1
7.462847100E-2,4.800000042E-2,-5.200000107E-2,-1.439999938E-1,1.604493639E-1
7.959551300E-2,-8.799999952E-2,-5.299999937E-2,-1.580000073E-1,1.884595504E-1
8.456259000E-2,-3.400000185E-2,-3.900000080E-2,5.900000036E-2,7.847292674E-2
8.952966700E-2,-1.999999955E-2,-1.070000008E-1,-1.309999973E-1,1.703232205E-1
9.449697300E-2,1.289999932E-1,-9.399999678E-2,-1.169999987E-1,1.979040104E-1
9.946405000E-2,1.150000021E-1,-6.599999964E-2,5.900000036E-2,1.451275318E-1
1.044311270E-1,4.699999839E-2,1.400000043E-2,-4.899999872E-2,6.932531814E-2
1.093982180E-1,6.000000052E-3,-6.700000167E-2,-7.599999756E-2,1.014938415E-1
1.143652950E-1,8.799999952E-2,-1.350000054E-1,-7.599999756E-2,1.781712687E-1
1.193324630E-1,-1.999999955E-2,-9.399999678E-2,-6.300000101E-2,1.149130084E-1
1.242994630E-1,6.000000052E-3,1.000000047E-3,-8.000000380E-3,1.004987596E-2
1.292666170E-1,6.100000069E-2,-1.070000008E-1,-8.000000380E-3,1.234260923E-1
1.342337040E-1,6.100000069E-2,-1.209999993E-1,-2.199999988E-2,1.372807340E-1
1.392007810E-1,6.000000052E-3,-9.300000221E-2,-3.599999845E-2,9.990495633E-2
1.441678570E-1,1.150000021E-1,-9.399999678E-2,-1.040000021E-1,1.813201597E-1
1.491349330E-1,6.100000069E-2,-2.600000054E-2,4.000000190E-3,6.643041557E-2
1.541022410E-1,4.699999839E-2,-2.600000054E-2,-8.000000380E-3,5.430469485E-2
1.590690870E-1,6.100000069E-2,1.400000043E-2,-1.580000073E-1,1.699441155E-1
1.640364000E-1,6.000000052E-3,-6.599999964E-2,-9.000000358E-2,1.117676187E-1
1.690035540E-1,1.999999955E-2,-5.299999937E-2,-2.199999988E-2,6.077005768E-2
1.739706450E-1,4.699999839E-2,-9.399999678E-2,-6.300000101E-2,1.225316260E-1
1.789376450E-1,-6.000000052E-3,-5.299999937E-2,-7.599999756E-2,9.284933798E-2
1.839047990E-1,1.999999955E-2,-7.999999821E-2,-4.899999872E-2,9.592184095E-2
1.888718140E-1,7.400000095E-2,-1.070000008E-1,-4.899999872E-2,1.390179851E-1
1.938388910E-1,6.000000052E-3,-6.599999964E-2,3.200000152E-2,7.359347832E-2
1.988060630E-1,1.899999939E-2,-7.500000298E-2,-4.899999872E-2,9.158056725E-2
2.037731400E-1,5.900000036E-2,-7.400000095E-2,-1.580000073E-1,1.841765525E-1
2.087402170E-1,-8.000000380E-3,-3.299999982E-2,-9.000000358E-2,9.619251862E-2
2.137072700E-1,4.600000009E-2,-6.100000069E-2,-2.199999988E-2,7.950471739E-2
2.186745780E-1,-1.999999955E-2,-5.700000003E-2,-1.180000007E-1,1.325631931E-1
2.236416550E-1,-1.999999955E-2,-8.399999887E-2,4.000000190E-3,8.644072994E-2
2.286084720E-1,6.000000052E-3,-5.600000173E-2,-4.899999872E-2,7.465252888E-2
2.335757800E-1,1.999999955E-2,3.799999878E-2,4.000000190E-3,4.312771604E-2
2.385428570E-1,3.099999949E-2,-2.700000070E-2,-7.699999958E-2,8.728688299E-2
2.435099340E-1,-3.599999845E-2,-6.800000370E-2,-1.040000021E-1,1.293676963E-1
2.484770870E-1,-2.300000004E-2,-2.700000070E-2,-1.309999973E-1,1.357166140E-1
2.534441830E-1,3.099999949E-2,-4.100000113E-2,-4.899999872E-2,7.101408266E-2
2.584112600E-1,5.400000140E-2,-2.500000037E-2,8.600000292E-2,1.045801160E-1
2.633782600E-1,3.999999911E-2,-6.599999964E-2,-8.999999613E-3,7.769813302E-2
2.683454090E-1,3.999999911E-2,-7.900000364E-2,-2.129999995E-1,2.306729293E-1
2.733127170E-1,0.000000000E0,-1.059999987E-1,-3.599999845E-2,1.119464141E-1
2.782797610E-1,1.200000010E-2,1.000000047E-3,-1.990000010E-1,1.993639897E-1
2.832466070E-1,6.599999964E-2,-1.480000019E-1,-2.199999988E-2,1.635359303E-1
2.882139150E-1,-5.499999970E-2,-1.200000010E-2,-4.899999872E-2,7.463243158E-2
2.931807900E-1,-4.199999943E-2,-7.999999821E-2,-9.000000358E-2,1.275303898E-1
2.981478670E-1,-1.300000027E-2,-4.899999872E-2,-1.449999958E-1,1.536066362E-1
3.031151750E-1,0.000000000E0,-3.500000015E-2,-6.300000101E-2,7.206941195E-2
3.080822510E-1,3.999999911E-2,-1.309999973E-1,-5.000000075E-2,1.458115197E-1
3.130493280E-1,-4.100000113E-2,1.799999923E-2,-9.000000358E-2,1.005236326E-1
3.180164050E-1,5.000000075E-2,-9.700000286E-2,-7.699999958E-2,1.335589779E-1
3.229835590E-1,2.199999988E-2,-2.800000086E-2,-9.099999815E-2,9.771898335E-2
3.279505590E-1,2.199999988E-2,-1.000000047E-3,-1.309999973E-1,1.328382448E-1
3.329176360E-1,3.599999845E-2,-5.499999970E-2,-5.000000075E-2,8.258934514E-2
3.378847900E-1,2.099999972E-2,-1.019999981E-1,-8.999999613E-3,1.045275064E-1
3.428518670E-1,-1.280000061E-1,-1.999999955E-2,4.000000190E-3,1.296148199E-1
3.478189590E-1,2.099999972E-2,-3.299999982E-2,-1.319999993E-1,1.376735261E-1
3.527860360E-1,-4.999999888E-3,-4.699999839E-2,4.000000190E-3,4.743416331E-2
3.577533290E-1,7.000000216E-3,6.000000052E-3,-6.300000101E-2,6.367103055E-2
3.627204050E-1,6.100000069E-2,-6.100000069E-2,-7.699999958E-2,1.156330407E-1
3.676872520E-1,7.400000095E-2,-7.500000298E-2,-3.599999845E-2,1.113418182E-1
3.726545690E-1,-1.999999955E-2,-6.100000069E-2,-5.000000075E-2,8.136952833E-2
3.776216460E-1,-1.899999939E-2,-4.500000179E-2,-3.599999845E-2,6.067948604E-2
3.825887230E-1,2.099999972E-2,8.999999613E-3,-3.599999845E-2,4.263800968E-2
3.875558190E-1,4.899999872E-2,-7.199999690E-2,-3.599999845E-2,9.423905409E-2
3.925229730E-1,2.099999972E-2,5.000000075E-2,1.700000092E-2,5.683308978E-2
3.974899820E-1,-4.300000146E-2,-4.100000113E-2,-5.000000075E-2,7.765307652E-2
4.024570590E-1,-2.000000095E-3,-4.100000113E-2,-1.860000044E-1,1.904757248E-1
4.074242130E-1,-1.499999966E-2,-4.100000113E-2,-1.729999930E-1,1.784236466E-1
4.123912860E-1,2.500000037E-2,-4.100000113E-2,-1.319999993E-1,1.404635181E-1
4.173583630E-1,-1.400000043E-2,-6.400000304E-2,3.099999949E-2,7.247758529E-2
4.223256700E-1,7.999999821E-2,-7.699999958E-2,-1.319999993E-1,1.724905779E-1
4.272927710E-1,0.000000000E0,-7.699999958E-2,-1.319999993E-1,1.528168831E-1
4.322596170E-1,3.999999911E-2,7.199999690E-2,-1.049999967E-1,1.334503608E-1
4.372269390E-1,6.199999899E-2,-5.900000036E-2,-1.180000007E-1,1.457703677E-1
4.421940160E-1,-4.999999888E-3,-1.799999923E-2,-5.000000075E-2,5.337602501E-2
4.471610930E-1,8.900000155E-2,-4.500000179E-2,3.000000026E-3,9.977474849E-2
4.521281410E-1,3.400000185E-2,-8.600000292E-2,-1.180000007E-1,1.499199813E-1
4.570952950E-1,4.399999976E-2,-6.800000370E-2,-1.459999979E-1,1.669610729E-1
4.620623720E-1,5.799999833E-2,1.300000027E-2,-9.099999815E-2,1.086922236E-1
4.670294540E-1,4.399999976E-2,-6.700000167E-2,-6.400000304E-2,1.025719289E-1
4.719964540E-1,-2.300000004E-2,2.700000070E-2,4.399999976E-2,5.651548477E-2
4.769636130E-1,-4.699999839E-2,-1.200000010E-2,-6.400000304E-2,8.030566755E-2
4.819306900E-1,7.000000216E-3,-1.200000010E-2,-9.099999815E-2,9.205432999E-2
4.868977660E-1,2.099999972E-2,-2.600000054E-2,-2.140000015E-1,2.165940920E-1
4.918648620E-1,8.900000155E-2,1.000000047E-3,-7.800000161E-2,1.183469498E-1
4.968321700E-1,8.299999684E-2,-4.899999872E-2,-1.180000007E-1,1.523614109E-1
5.017990160E-1,0.000000000E0,1.799999923E-2,-1.319999993E-1,1.332216191E-1
5.067660980E-1,0.000000000E0,-3.500000015E-2,3.000000026E-3,3.512833629E-2
5.117334060E-1,1.400000043E-2,-2.199999988E-2,7.100000232E-2,7.563729462E-2
5.167004830E-1,3.900000080E-2,1.700000092E-2,-3.700000048E-2,5.638262258E-2
5.216675600E-1,-2.000000095E-3,-6.400000304E-2,-6.400000304E-2,9.053176668E-2
5.266347140E-1,-1.499999966E-2,3.000000026E-3,1.700000092E-2,2.286919372E-2
5.316018050E-1,2.500000037E-2,-6.400000304E-2,-1.049999967E-1,1.254830655E-1
5.365688050E-1,2.300000004E-2,2.000000095E-3,-1.319999993E-1,1.340037306E-1
5.415359580E-1,-1.700000092E-2,-5.099999905E-2,-9.099999815E-2,1.056929496E-1
5.465030210E-1,-8.500000089E-2,1.600000076E-2,-1.319999993E-1,1.578131807E-1
5.514700980E-1,-4.000000190E-3,-9.999999776E-3,-3.700000048E-2,3.853569816E-2
5.564371890E-1,-1.600000076E-2,1.499999966E-2,-1.180000007E-1,1.200208323E-1
5.614044970E-1,-7.100000232E-2,1.499999966E-2,-1.049999967E-1,1.276362003E-1
5.663715740E-1,-3.000000026E-3,5.499999970E-2,-3.700000048E-2,6.635510532E-2
5.713386700E-1,9.200000018E-2,-3.900000080E-2,-2.300000004E-2,1.025377984E-1
5.763057470E-1,8.999999613E-3,-8.699999750E-2,-1.319999993E-1,1.583477167E-1
5.812728240E-1,7.699999958E-2,-3.200000152E-2,-7.800000161E-2,1.141796842E-1
5.862398960E-1,7.699999958E-2,3.500000015E-2,-1.049999967E-1,1.348295192E-1
5.912069730E-1,-4.399999976E-2,-5.999999866E-2,-1.870000064E-1,2.012585457E-1
5.961740490E-1,8.000000380E-3,-5.600000173E-2,-6.400000304E-2,8.541662946E-2
6.011411600E-1,-5.900000036E-2,-4.199999943E-2,3.000000026E-3,7.248448106E-2
6.061081600E-1,-3.200000152E-2,-1.400000043E-2,-5.000000075E-2,6.099180424E-2
6.110752950E-1,-5.900000036E-2,-1.000000047E-3,-5.000000075E-2,7.734339091E-2
6.160423720E-1,1.999999955E-2,-3.900000080E-2,-1.319999993E-1,1.390863036E-1
6.210094490E-1,-6.100000069E-2,-1.200000010E-2,-1.190000027E-1,1.342609427E-1
6.259765260E-1,1.999999955E-2,4.199999943E-2,-1.870000064E-1,1.926992536E-1
6.309438340E-1,4.699999839E-2,-1.200000010E-2,-7.800000161E-2,9.185314422E-2
6.359108910E-1,-4.399999976E-2,7.699999958E-2,-1.459999979E-1,1.708244692E-1
6.408777370E-1,6.400000304E-2,8.000000380E-3,-3.700000048E-2,7.435724867E-2
6.458450450E-1,6.400000304E-2,1.030000001E-1,1.940000057E-1,2.287815610E-1
6.508121260E-1,9.999999776E-3,3.500000015E-2,-1.319999993E-1,1.369269872E-1
6.557792030E-1,-1.499999966E-2,-4.999999888E-3,-2.300000004E-2,2.791057131E-2
6.607462800E-1,3.900000080E-2,-1.799999923E-2,-5.000000075E-2,6.591661482E-2
6.657134530E-1,-1.499999966E-2,8.000000380E-3,1.700000092E-2,2.404163113E-2
6.706805300E-1,3.900000080E-2,4.899999872E-2,-2.300000004E-2,6.671581476E-2
6.756475830E-1,-1.400000043E-2,4.600000009E-2,-5.000000075E-2,6.936858147E-2
6.806146600E-1,-2.700000070E-2,-2.199999988E-2,-6.400000304E-2,7.286288782E-2
6.855817370E-1,3.999999911E-2,1.799999923E-2,1.700000092E-2,4.704253322E-2
6.905488240E-1,-1.400000043E-2,4.000000190E-3,-1.180000007E-1,1.188949123E-1
6.955159010E-1,-7.699999958E-2,-8.000000380E-3,-2.300000004E-2,8.075890009E-2
7.004829780E-1,-8.000000380E-3,-4.800000042E-2,-9.099999815E-2,1.031939907E-1
7.054502900E-1,1.270000041E-1,3.200000152E-2,-1.589999944E-1,2.059951440E-1
7.104173670E-1,-8.000000380E-3,5.999999866E-2,5.799999833E-2,8.383316558E-2
7.153844440E-1,-8.000000380E-3,-4.500000179E-2,-1.190000027E-1,1.274754911E-1
7.203515160E-1,1.410000026E-1,2.199999988E-2,-6.400000304E-2,1.564001315E-1
7.253185930E-1,5.999999866E-2,-3.099999949E-2,-6.400000304E-2,9.304300187E-2
7.302856700E-1,3.200000152E-2,-1.799999923E-2,-1.049999967E-1,1.112339848E-1
7.352528240E-1,-4.500000179E-2,-1.600000076E-2,-6.400000304E-2,7.985612421E-2
7.402199010E-1,-3.099999949E-2,2.400000021E-2,1.700000092E-2,4.273172136E-2
7.451869680E-1,-1.799999923E-2,3.700000048E-2,-3.700000048E-2,5.533534171E-2
7.501540450E-1,3.599999845E-2,-5.700000003E-2,-1.190000027E-1,1.367698817E-1
7.551211070E-1,-1.309999973E-1,-3.000000026E-3,-5.099999905E-2,1.406093851E-1
7.600884140E-1,3.200000152E-2,2.400000021E-2,3.000000026E-3,4.011234358E-2
7.650552610E-1,8.699999750E-2,2.400000021E-2,-9.200000018E-2,1.288759078E-1
7.700225300E-1,3.200000152E-2,-2.000000095E-3,-1.049999967E-1,1.097861531E-1
7.749893760E-1,4.999999888E-3,9.999999776E-3,-2.300000004E-2,2.557342364E-2
7.799566840E-1,5.900000036E-2,7.800000161E-2,-7.800000161E-2,1.250959653E-1
7.849237560E-1,-4.899999872E-2,-3.000000026E-3,-5.099999905E-2,7.078841556E-2
7.898909100E-1,-8.000000380E-3,3.700000048E-2,-6.400000304E-2,7.435724867E-2
7.948579200E-1,-3.299999982E-2,-5.400000140E-2,-3.700000048E-2,7.330757242E-2
7.998249970E-1,7.000000216E-3,2.700000070E-2,-1.599999964E-1,1.624130503E-1
8.047921750E-1,-5.999999866E-2,-5.299999937E-2,-1.049999967E-1,1.320378699E-1
8.097594820E-1,-1.899999939E-2,-2.600000054E-2,4.399999976E-2,5.452522337E-2
8.147263290E-1,9.499999881E-2,3.799999878E-2,-1.319999993E-1,1.670119741E-1
8.196934010E-1,3.999999911E-2,1.099999994E-2,-9.200000018E-2,1.009207608E-1
8.246607080E-1,3.999999911E-2,3.799999878E-2,-7.800000161E-2,9.554056775E-2
8.296275540E-1,-1.300000027E-2,-1.499999966E-2,-6.400000304E-2,6.700746515E-2
8.345948470E-1,1.200000010E-2,-5.299999937E-2,-1.049999967E-1,1.182285890E-1
8.395619240E-1,1.200000010E-2,-3.799999878E-2,-1.599999964E-1,1.648878369E-1
8.445290010E-1,-2.800000086E-2,5.600000173E-2,3.000000026E-3,6.268173771E-2
8.494961020E-1,3.900000080E-2,-2.500000037E-2,-9.200000018E-2,1.030048548E-1
8.544631790E-1,2.400000021E-2,-2.300000004E-2,-3.700000048E-2,4.973932094E-2
8.594303330E-1,2.300000004E-2,-8.999999613E-3,-5.099999905E-2,5.666568536E-2
8.643974100E-1,6.400000304E-2,-5.000000075E-2,-1.599999964E-1,1.794324366E-1
8.693644100E-1,-5.700000003E-2,1.700000092E-2,-9.999999776E-3,6.031583565E-2
8.743315450E-1,2.199999988E-2,2.800000086E-2,-9.200000018E-2,9.865090003E-2
8.792986210E-1,2.199999988E-2,2.800000086E-2,-7.800000161E-2,8.574380616E-2
8.842656980E-1,-4.600000009E-2,2.800000086E-2,-1.319999993E-1,1.425622666E-1
8.892330110E-1,8.000000380E-3,-2.500000037E-2,-7.800000161E-2,8.229823981E-2
8.942000880E-1,-2.999999933E-2,1.400000043E-2,-3.700000048E-2,4.964876642E-2
8.991669340E-1,-8.399999887E-2,0.000000000E0,3.000000026E-3,8.405355323E-2
9.041340010E-1,-2.000000095E-3,-1.200000010E-2,-2.300000004E-2,2.601922376E-2
9.091013090E-1,-2.000000095E-3,1.400000043E-2,-7.800000161E-2,7.927168639E-2
9.140684780E-1,-9.099999815E-2,8.900000155E-2,-1.049999967E-1,1.650060582E-1
9.190354780E-1,8.600000292E-2,-1.420000046E-1,-2.300000004E-2,1.675977381E-1
9.240025550E-1,4.500000179E-2,-4.699999839E-2,-3.700000048E-2,7.485318994E-2
9.289696930E-1,-2.199999988E-2,6.100000069E-2,-5.099999905E-2,8.249848472E-2
9.339366930E-1,1.600000076E-2,-1.899999939E-2,-1.599999964E-1,1.619166417E-1
9.389038460E-1,-6.499999762E-2,8.000000380E-3,-1.319999993E-1,1.473533152E-1
9.438709090E-1,2.000000095E-3,-1.270000041E-1,-7.800000161E-2,1.490536859E-1
9.488379860E-1,4.300000146E-2,-7.299999893E-2,-7.800000161E-2,1.151607582E-1
9.538050580E-1,5.299999937E-2,1.999999955E-2,-5.099999905E-2,7.622335481E-2
