"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.043691560E-1,-1.999999955E-2,-7.699999958E-2,-1.959999949E-1,2.115301348E-1
1.093361560E-1,5.799999833E-2,5.400000140E-2,-4.399999976E-2,9.064215320E-2
1.143029250E-1,-1.200000010E-2,1.799999923E-2,-1.700000092E-2,2.751363309E-2
1.192694580E-1,-5.000000075E-2,-2.600000054E-2,-5.799999833E-2,8.087026591E-2
1.242362270E-1,-3.099999949E-2,7.000000216E-3,-5.799999833E-2,6.613622138E-2
1.292029960E-1,4.800000042E-2,4.800000042E-2,-9.899999946E-2,1.200374940E-1
1.341697600E-1,1.499999966E-2,1.300000027E-2,-7.500000298E-2,7.758221732E-2
1.391365290E-1,7.800000161E-2,7.699999958E-2,-1.309999973E-1,1.708039797E-1
1.441033310E-1,-8.200000226E-2,-8.100000024E-2,-1.000000015E-1,1.525942355E-1
1.490701000E-1,-3.799999878E-2,-2.099999972E-2,-1.260000020E-1,1.332704033E-1
1.540367930E-1,7.400000095E-2,5.600000173E-2,-1.710000038E-1,1.945584787E-1
1.590035560E-1,-2.999999933E-2,-4.199999943E-2,-7.199999690E-2,8.858893535E-2
1.639704020E-1,-3.500000015E-2,-3.900000080E-2,-7.199999690E-2,8.905054535E-2
1.689368870E-1,-4.500000179E-2,-6.400000304E-2,-4.000000190E-3,7.833901041E-2
1.739038870E-1,3.599999845E-2,-8.999999613E-3,-1.260000020E-1,1.313506772E-1
1.788706560E-1,-5.900000036E-2,3.099999949E-2,-4.399999976E-2,7.986238157E-2
1.838374090E-1,8.000000380E-3,-8.999999613E-3,-1.260000020E-1,1.265740910E-1
1.888041780E-1,-5.900000036E-2,-7.699999958E-2,-1.400000006E-1,1.703232226E-1
1.937709470E-1,8.000000380E-3,1.700000092E-2,-8.500000089E-2,8.705170986E-2
1.987374660E-1,-4.000000190E-3,-6.400000304E-2,-3.099999949E-2,7.122499813E-2
2.037042350E-1,-7.199999690E-2,-2.300000004E-2,-8.500000089E-2,1.137453283E-1
2.086710040E-1,-4.000000190E-3,-6.400000304E-2,-5.799999833E-2,8.646386642E-2
2.136380220E-1,2.199999988E-2,-3.599999845E-2,-1.260000020E-1,1.328758834E-1
2.186045610E-1,-5.799999833E-2,-6.400000304E-2,8.999999613E-3,8.683893245E-2
2.235712770E-1,-4.000000190E-3,-1.040000021E-1,-4.399999976E-2,1.129955770E-1
2.285381230E-1,-5.900000036E-2,-2.300000004E-2,-7.199999690E-2,9.588534611E-2
2.335048160E-1,-5.900000036E-2,-1.040000021E-1,-7.199999690E-2,1.395743531E-1
