"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.610783000E-2,1.099999994E-1,-2.199999988E-2,-1.490000039E-1,1.865073753E-1
2.107436900E-2,1.190000027E-1,-2.000000095E-3,-2.600000054E-2,1.218236458E-1
2.604106100E-2,7.999999821E-2,-2.600000054E-2,-1.300000027E-2,8.511756428E-2
3.100760200E-2,2.199999988E-2,5.999999866E-2,-6.599999964E-2,9.186947146E-2
3.597429500E-2,-1.000000047E-3,-5.900000036E-2,-3.599999845E-2,6.912307813E-2
4.094085000E-2,-1.499999966E-2,7.500000298E-2,-2.400000021E-2,8.016233808E-2
4.590731200E-2,-8.000000380E-3,-1.739999950E-1,-1.040000021E-1,2.028694129E-1
5.087408100E-2,6.000000052E-3,6.599999964E-2,-8.999999613E-3,6.688049003E-2
5.584077600E-2,2.000000095E-3,9.700000286E-2,-1.169999987E-1,1.519934217E-1
6.080723800E-2,-2.000000095E-3,7.000000216E-3,-6.499999762E-2,6.540641936E-2
6.577400700E-2,-1.200000010E-2,8.000000380E-3,-1.599999964E-1,1.606486815E-1
7.074023700E-2,0.000000000E0,-7.000000216E-3,-1.749999970E-1,1.751399411E-1
7.570692900E-2,0.000000000E0,-3.599999845E-2,-3.900000080E-2,5.307541758E-2
8.067365300E-2,8.999999613E-3,8.000000380E-3,-5.200000107E-2,5.337602562E-2
8.564019200E-2,-3.799999878E-2,-3.099999949E-2,-6.599999964E-2,8.222529920E-2
9.060688400E-2,5.600000173E-2,8.999999613E-3,-1.099999994E-2,5.777542891E-2
9.557342100E-2,1.499999966E-2,-4.500000179E-2,-1.739999950E-1,1.803496560E-1
1.005401130E-1,1.499999966E-2,8.999999613E-3,-1.469999999E-1,1.480371573E-1
1.055065750E-1,1.499999966E-2,5.000000075E-2,-1.340000033E-1,1.438089043E-1
1.104730930E-1,-6.499999762E-2,6.300000101E-2,-5.200000107E-2,1.043934860E-1
1.154397850E-1,-2.400000021E-2,3.599999845E-2,-6.599999964E-2,7.891767769E-2
1.204065630E-1,7.000000030E-2,3.599999845E-2,-1.059999987E-1,1.320302983E-1
1.253730240E-1,-2.400000021E-2,2.199999988E-2,-1.469999999E-1,1.505622794E-1
1.303394860E-1,2.000000095E-3,1.180000007E-1,-9.300000221E-2,1.502564494E-1
1.353062680E-1,1.600000076E-2,-4.000000190E-3,-1.059999987E-1,1.072753455E-1
1.402727300E-1,5.700000003E-2,6.300000101E-2,-7.900000364E-2,1.160129334E-1
1.452394990E-1,1.600000076E-2,2.199999988E-2,-1.340000033E-1,1.367333204E-1
1.502060600E-1,-9.200000018E-2,2.199999988E-2,-6.599999964E-2,1.153429668E-1
1.551725220E-1,-1.099999994E-2,-4.000000190E-3,-7.900000364E-2,7.986238523E-2
1.601392130E-1,4.300000146E-2,5.000000075E-2,-6.599999964E-2,9.330059031E-2
1.651059820E-1,4.300000146E-2,3.599999845E-2,-1.199999973E-1,1.324575380E-1
1.700724240E-1,4.300000146E-2,-1.700000092E-2,-2.500000037E-2,5.256424807E-2
1.750389620E-1,1.600000076E-2,8.999999613E-3,-2.150000036E-1,2.157823013E-1
1.800056550E-1,-3.799999878E-2,6.300000101E-2,-3.240000010E-1,3.322484020E-1
1.849720970E-1,2.899999917E-2,-4.000000190E-3,-6.599999964E-2,7.220110737E-2
1.899386360E-1,-1.099999994E-2,8.999999613E-3,-9.300000221E-2,9.407975554E-2
1.949053280E-1,-2.400000021E-2,2.199999988E-2,-2.829999924E-1,2.848666279E-1
1.998721070E-1,2.700000070E-2,5.799999833E-2,-1.199999973E-1,1.359889672E-1
2.048385690E-1,1.300000027E-2,-3.700000048E-2,2.879999876E-1,2.906578623E-1
2.098050880E-1,0.000000000E0,-5.099999905E-2,4.239999950E-1,4.270561973E-1
2.147717810E-1,-1.300000027E-2,-9.999999776E-3,1.110000014E-1,1.122051706E-1
2.197383190E-1,0.000000000E0,1.600000076E-2,-2.829999924E-1,2.834519284E-1
2.247050150E-1,-1.400000043E-2,2.999999933E-2,-4.329999983E-1,4.342637430E-1
2.296715540E-1,-1.400000043E-2,2.999999933E-2,-2.560000122E-1,2.581317613E-1
2.346380150E-1,5.400000140E-2,-2.400000021E-2,-6.499999762E-2,8.784645611E-2
2.396047180E-1,5.000000075E-2,-9.999999776E-3,1.790000051E-1,1.861209335E-1
2.445714870E-1,-3.000000026E-3,-2.400000021E-2,1.110000014E-1,1.136045788E-1
2.495380250E-1,-1.260000020E-1,3.000000026E-3,-2.500000037E-2,1.284912469E-1
2.545044820E-1,-1.120000035E-1,7.100000232E-2,-2.290000021E-1,2.646242659E-1
2.594711740E-1,5.900000036E-2,5.400000140E-2,-2.700000107E-1,2.815972407E-1
2.644376510E-1,-3.599999845E-2,2.600000054E-2,5.600000173E-2,7.147027431E-2
2.694041890E-1,-8.999999613E-3,1.200000010E-2,1.499999966E-2,2.121320309E-2
2.743709590E-1,4.000000190E-3,1.200000010E-2,1.499999966E-2,1.962141672E-2
2.793376360E-1,-3.400000185E-2,-1.000000047E-3,-1.199999973E-1,1.247277013E-1
2.843040970E-1,-6.000000052E-3,0.000000000E0,-3.100000024E-1,3.100580615E-1
2.892706360E-1,-6.100000069E-2,-1.400000043E-2,-2.150000036E-1,2.239240979E-1
2.942373470E-1,3.299999982E-2,-1.400000043E-2,-2.400000021E-2,4.313930934E-2
2.992038860E-1,5.700000003E-2,-2.600000054E-2,1.379999965E-1,1.515552674E-1
3.041705930E-1,-2.400000021E-2,-2.600000054E-2,9.700000286E-2,1.032521215E-1
3.091371320E-1,-3.799999878E-2,4.199999943E-2,-2.400000021E-2,6.151422494E-2
3.141038240E-1,4.300000146E-2,1.000000047E-3,-2.829999924E-1,2.862498835E-1
3.190703660E-1,6.499999762E-2,5.200000107E-2,-9.200000018E-2,1.240685288E-1
3.240370590E-1,2.400000021E-2,9.200000018E-2,-1.469999999E-1,1.750685580E-1
3.290035970E-1,3.799999878E-2,3.700000048E-2,-3.799999878E-2,6.524568836E-2
3.339700350E-1,6.499999762E-2,-2.999999933E-2,9.700000286E-2,1.205570413E-1
3.389368040E-1,-7.800000161E-2,8.999999613E-3,-3.799999878E-2,8.722958300E-2
3.439032650E-1,3.000000026E-3,3.700000048E-2,-1.099999994E-2,3.871692181E-2
3.488699680E-1,3.000000026E-3,-8.500000089E-2,-2.290000021E-1,2.442846723E-1
3.538365060E-1,2.999999933E-2,5.000000075E-2,-1.609999985E-1,1.712337570E-1
3.588031850E-1,4.100000113E-2,2.199999988E-2,-1.330000013E-1,1.409042243E-1
3.637697230E-1,1.300000027E-2,-5.900000036E-2,-5.200000107E-2,7.971198254E-2
3.687363900E-1,-1.300000027E-2,-4.600000009E-2,-6.499999762E-2,8.068456919E-2
3.737029290E-1,6.800000370E-2,-4.999999888E-3,-7.900000364E-2,1.043551679E-1
3.786693900E-1,0.000000000E0,1.999999955E-2,-1.330000013E-1,1.344953543E-1
3.836360830E-1,5.400000140E-2,1.999999955E-2,-9.200000018E-2,1.085357092E-1
3.886026210E-1,1.300000027E-2,-3.400000185E-2,-5.200000107E-2,6.347440621E-2
3.935693130E-1,-5.400000140E-2,-6.100000069E-2,2.899999917E-2,8.647543111E-2
3.985358520E-1,1.200000010E-2,5.700000003E-2,5.600000173E-2,8.080222893E-2
4.035025440E-1,-1.000000047E-3,2.899999917E-2,-5.200000107E-2,5.954830026E-2
4.084690830E-1,-8.200000226E-2,-1.099999994E-2,-1.330000013E-1,1.566333321E-1
4.134357800E-1,-1.000000047E-3,2.000000095E-3,-2.010000050E-1,2.010124424E-1
4.184023190E-1,1.099999994E-2,2.700000070E-2,-6.499999762E-2,7.123903232E-2
4.233690060E-1,-2.000000095E-3,1.300000027E-2,-3.799999878E-2,4.021193746E-2
4.283354670E-1,-2.899999917E-2,1.300000027E-2,-3.799999878E-2,4.953786295E-2
4.333020060E-1,1.099999994E-2,-2.700000070E-2,-1.099999994E-2,3.116087347E-2
4.382687660E-1,-5.299999937E-2,-7.599999756E-2,2.899999917E-2,9.708758682E-2
4.432352280E-1,-1.099999994E-2,-2.099999972E-2,-1.199999973E-1,1.223192517E-1
4.482019200E-1,-3.900000080E-2,3.299999982E-2,-1.739999950E-1,1.813449705E-1
4.531684620E-1,-1.099999994E-2,-3.400000185E-2,-1.330000013E-1,1.377171031E-1
4.581349240E-1,-8.699999750E-2,-7.000000216E-3,-7.900000364E-2,1.177242547E-1
4.631016160E-1,-1.799999923E-2,-1.999999955E-2,-1.469999999E-1,1.494422963E-1
4.680683910E-1,9.000000358E-2,7.400000095E-2,-1.330000013E-1,1.768191198E-1
4.730348520E-1,2.099999972E-2,-4.699999839E-2,5.600000173E-2,7.606576122E-2
4.780016210E-1,5.799999833E-2,-5.700000003E-2,-2.290000021E-1,2.430102895E-1
4.829680830E-1,2.999999933E-2,1.059999987E-1,1.379999965E-1,1.765785908E-1
4.879346210E-1,-1.190000027E-1,1.469999999E-1,-7.900000364E-2,2.049658537E-1
4.929013140E-1,1.700000092E-2,7.900000364E-2,-1.739999950E-1,1.918488959E-1
4.978678520E-1,2.800000086E-2,1.110000014E-1,-2.290000021E-1,2.560195331E-1
5.028345400E-1,-3.900000080E-2,-1.059999987E-1,-2.689999938E-1,2.917498868E-1
5.078010780E-1,-2.600000054E-2,1.000000047E-3,2.000000095E-3,2.609597724E-2
5.127675400E-1,-1.200000010E-2,1.000000047E-3,2.899999917E-2,3.140063621E-2
5.177343090E-1,6.400000304E-2,-9.999999776E-3,1.790000051E-1,1.903601907E-1
5.227007700E-1,-1.260000020E-1,2.000000095E-3,-2.290000021E-1,2.613828638E-1
5.276674630E-1,-1.700000092E-2,4.300000146E-2,-2.150000036E-1,2.199158969E-1
5.326342370E-1,7.699999958E-2,1.600000076E-2,-1.199999973E-1,1.434747341E-1
5.376006980E-1,3.400000185E-2,-8.999999613E-3,1.110000014E-1,1.164388270E-1
5.425672370E-1,-8.799999952E-2,4.399999976E-2,-9.200000018E-2,1.346996657E-1
5.475339430E-1,3.400000185E-2,-8.999999613E-3,1.379999965E-1,1.424113730E-1
5.525004050E-1,7.000000216E-3,3.000000026E-3,-1.599999964E-1,1.601811439E-1
5.574671600E-1,-8.200000226E-2,9.200000018E-2,-1.599999964E-1,2.019603903E-1
5.624336990E-1,-2.700000070E-2,-5.700000003E-2,-9.200000018E-2,1.115437137E-1
5.674003910E-1,-4.100000113E-2,-5.700000003E-2,-1.059999987E-1,1.271455852E-1
5.723668230E-1,-6.800000370E-2,-3.000000026E-3,-1.099999994E-2,6.894926034E-2
5.773333620E-1,-2.500000037E-2,-5.400000140E-2,-1.099999994E-2,6.051446247E-2
5.823000540E-1,1.000000047E-3,6.800000370E-2,-6.499999762E-2,9.407443964E-2
5.872666120E-1,-9.300000221E-2,-5.299999937E-2,-9.200000018E-2,1.411453165E-1
5.922333040E-1,1.499999966E-2,4.100000113E-2,-1.059999987E-1,1.146385617E-1
5.971998280E-1,1.000000047E-3,1.300000027E-2,-1.059999987E-1,1.067988752E-1
6.021662900E-1,1.000000047E-3,1.080000028E-1,2.000000095E-3,1.080231485E-1
6.071330590E-1,-1.200000010E-2,-2.700000070E-2,-5.200000107E-2,5.980802749E-2
6.120997610E-1,4.199999943E-2,5.299999937E-2,-1.609999985E-1,1.746253114E-1
6.170662220E-1,-1.099999994E-2,3.039999902E-1,5.600000173E-2,3.093105143E-1
6.220327610E-1,2.000000095E-3,-2.960000038E-1,4.300000146E-2,2.991136947E-1
6.269994380E-1,8.299999684E-2,-2.689999938E-1,3.289999962E-1,4.330023021E-1
6.319659760E-1,-2.500000037E-2,5.700000003E-2,-4.189999998E-1,4.235976863E-1
6.369326740E-1,-9.999999776E-3,-3.500000015E-2,2.000000095E-3,3.645545235E-2
6.418992120E-1,4.300000146E-2,1.550000012E-1,-3.510000110E-1,3.861023287E-1
6.468659040E-1,3.000000026E-3,-4.800000042E-2,1.790000051E-1,1.853483258E-1
6.518323660E-1,-9.999999776E-3,-7.599999756E-2,-1.739999950E-1,1.901367873E-1
6.567991350E-1,-7.299999893E-2,6.800000370E-2,-1.099999994E-2,1.003693197E-1
6.617656740E-1,-1.000000015E-1,-2.029999942E-1,-1.099999994E-2,2.265612454E-1
6.667321060E-1,3.599999845E-2,-3.999999911E-2,9.700000286E-2,1.109279062E-1
6.716987990E-1,3.599999845E-2,-3.999999911E-2,-2.560000122E-1,2.615951185E-1
6.766655820E-1,4.600000009E-2,-1.389999986E-1,-6.499999762E-2,1.601936306E-1
6.816318130E-1,7.299999893E-2,-4.300000146E-2,-9.200000018E-2,1.250679815E-1
6.865985820E-1,-8.000000380E-3,-2.899999917E-2,4.300000146E-2,5.247856785E-2
6.915652740E-1,4.000000190E-3,-1.239999980E-1,-2.010000050E-1,2.362054223E-1
6.965318130E-1,2.899999917E-2,-6.499999762E-2,-6.499999762E-2,9.638983002E-2
7.014982740E-1,-7.900000364E-2,3.000000026E-3,-1.739999950E-1,1.911177617E-1
7.064650530E-1,2.000000095E-3,-1.190000027E-1,7.000000030E-2,1.380760685E-1
7.114315150E-1,-2.400000021E-2,8.399999887E-2,-6.499999762E-2,1.088898504E-1
7.163982260E-1,5.299999937E-2,7.900000364E-2,1.600000076E-2,9.646761390E-2
7.213647650E-1,-6.899999827E-2,-7.000000030E-2,-1.469999999E-1,1.768332541E-1
7.263314570E-1,-2.899999917E-2,6.499999762E-2,-2.150000036E-1,2.264751668E-1
7.312979770E-1,2.500000037E-2,-3.000000026E-3,-1.739999950E-1,1.758123951E-1
7.362646690E-1,-9.000000358E-2,-2.800000086E-2,-6.499999762E-2,1.144945430E-1
7.412312020E-1,-7.599999756E-2,2.600000054E-2,-1.609999985E-1,1.799249820E-1
7.461976640E-1,-7.599999756E-2,3.900000080E-2,4.300000146E-2,9.563472077E-2
7.511643560E-1,-8.000000380E-3,-5.499999970E-2,-2.400000021E-2,6.053924333E-2
7.561308760E-1,2.999999933E-2,0.000000000E0,-5.200000107E-2,6.003332467E-2
7.610975680E-1,2.999999933E-2,-6.899999827E-2,-2.010000050E-1,2.146205995E-1
7.660641070E-1,4.300000146E-2,-1.400000043E-2,-7.900000364E-2,9.102747229E-2
7.710308660E-1,2.000000095E-3,-2.800000086E-2,-7.900000364E-2,8.383913539E-2
7.759975580E-1,3.999999911E-2,-2.600000054E-2,-2.400000021E-2,5.340411938E-2
7.809637890E-1,0.000000000E0,-3.900000080E-2,-2.010000050E-1,2.047486314E-1
7.859305920E-1,0.000000000E0,2.800000086E-2,-1.059999987E-1,1.096357596E-1
7.908970540E-1,0.000000000E0,1.400000043E-2,-9.200000018E-2,9.305912123E-2
7.958637360E-1,-3.799999878E-2,7.699999958E-2,-9.200000018E-2,1.258451424E-1
8.008305050E-1,-3.799999878E-2,8.000000380E-3,-7.900000364E-2,8.802840728E-2
8.057970440E-1,-3.799999878E-2,-1.799999923E-2,-1.199999973E-1,1.271534476E-1
8.107635200E-1,-1.099999994E-2,2.199999988E-2,-2.400000021E-2,3.436568061E-2
8.157302130E-1,2.000000095E-3,-1.700000092E-2,-1.739999950E-1,1.748399219E-1
8.206967510E-1,1.499999966E-2,-1.700000092E-2,-1.099999994E-2,2.519920673E-2
8.256634470E-1,2.000000095E-3,-1.700000092E-2,8.399999887E-2,8.572630776E-2
8.306299860E-1,1.110000014E-1,9.999999776E-3,-1.469999999E-1,1.844722209E-1
8.355966890E-1,2.000000095E-3,-2.800000086E-2,-9.200000018E-2,9.618731768E-2
8.405631510E-1,2.000000095E-3,1.200000010E-2,-1.059999987E-1,1.066958281E-1
8.455296890E-1,-5.200000107E-2,-1.400000043E-2,-9.200000018E-2,1.066020645E-1
8.504964770E-1,-3.799999878E-2,2.600000054E-2,-1.199999973E-1,1.285301493E-1
8.554631700E-1,2.000000095E-3,-2.600000054E-2,-2.290000021E-1,2.304799362E-1
8.604296310E-1,4.199999943E-2,0.000000000E0,2.899999917E-2,5.103919968E-2
8.653961800E-1,1.499999966E-2,-2.600000054E-2,-1.199999973E-1,1.236972084E-1
8.703628720E-1,1.499999966E-2,-2.600000054E-2,-1.469999999E-1,1.500333296E-1
8.753293620E-1,-1.099999994E-2,-1.099999994E-2,-1.059999987E-1,1.071354271E-1
8.802961310E-1,2.000000095E-3,-2.500000037E-2,-6.499999762E-2,6.967065171E-2
8.852626690E-1,1.600000076E-2,-2.500000037E-2,-2.400000021E-2,3.817067006E-2
8.902291070E-1,-2.400000021E-2,1.000000047E-3,-7.900000364E-2,8.257118495E-2
8.951957990E-1,3.999999911E-2,-4.800000042E-2,-1.099999994E-2,6.344288744E-2
9.001625680E-1,-2.700000070E-2,3.299999982E-2,-1.199999973E-1,1.273499092E-1
9.051290210E-1,5.299999937E-2,8.699999750E-2,2.000000095E-3,1.018920973E-1
9.100955590E-1,2.600000054E-2,-6.199999899E-2,4.300000146E-2,7.980601499E-2
9.150622420E-1,3.700000048E-2,-1.899999939E-2,1.600000076E-2,4.456456032E-2
9.200287030E-1,-5.700000003E-2,-6.000000052E-3,-7.900000364E-2,9.760123246E-2
9.249954730E-1,-3.000000026E-3,-8.699999750E-2,-7.900000364E-2,1.175542434E-1
9.299620110E-1,-2.999999933E-2,7.000000216E-3,-9.200000018E-2,9.702061634E-2
9.349287030E-1,-1.600000076E-2,1.899999939E-2,-1.879999936E-1,1.896338514E-1
9.398951650E-1,-5.600000173E-2,1.899999939E-2,-2.400000021E-2,6.382006096E-2
9.448617080E-1,-2.000000095E-3,1.010000035E-1,-2.400000021E-2,1.038315979E-1
9.498284010E-1,-2.899999917E-2,6.000000052E-3,-1.099999994E-2,3.159113722E-2
9.547949340E-1,-1.400000043E-2,6.899999827E-2,2.899999917E-2,7.614459748E-2
9.597616270E-1,-2.800000086E-2,1.400000043E-2,-9.200000018E-2,9.718024539E-2
9.647281650E-1,-4.199999943E-2,-5.299999937E-2,-3.799999878E-2,7.756932250E-2
9.696948910E-1,-1.000000047E-3,5.499999970E-2,-2.150000036E-1,2.219256666E-1
9.746613530E-1,-1.300000027E-2,-1.200000010E-2,-9.200000018E-2,9.368564480E-2
