"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.076848850E-1,5.600000173E-2,-2.300000004E-2,-1.860000044E-1,1.956041969E-1
1.126521920E-1,-7.000000216E-3,4.399999976E-2,-3.900000080E-2,5.921148575E-2
1.176196540E-1,-6.800000370E-2,1.250000000E-1,-9.000000358E-2,1.683716162E-1
1.225870190E-1,-5.400000140E-2,6.100000069E-2,-2.199999988E-2,8.438601916E-2
1.275544030E-1,-5.400000140E-2,5.999999866E-2,-1.720000058E-1,1.900000053E-1
1.325217110E-1,-3.700000048E-2,5.900000036E-2,-7.599999756E-2,1.030824898E-1
1.374891810E-1,2.999999933E-2,-7.599999756E-2,-4.899999872E-2,9.527328830E-2
1.424564890E-1,-1.099999994E-2,1.799999923E-2,-1.169999987E-1,1.188864991E-1
1.474238500E-1,8.900000155E-2,-1.270000041E-1,-4.899999872E-2,1.626376376E-1
1.523912340E-1,4.199999943E-2,-6.800000370E-2,4.000000190E-3,8.002499895E-2
1.573586960E-1,-7.800000161E-2,2.300000004E-2,-4.899999872E-2,9.494208828E-2
1.623259890E-1,8.999999613E-3,-8.000000380E-3,-1.030000001E-1,1.037014948E-1
1.672933730E-1,-1.200000010E-2,-1.000000047E-3,-1.169999987E-1,1.176180245E-1
1.722608350E-1,-8.299999684E-2,1.999999955E-2,-7.599999756E-2,1.143022270E-1
1.772282190E-1,-7.000000030E-2,-6.000000052E-3,-1.169999987E-1,1.364734397E-1
1.821955270E-1,-9.700000286E-2,-4.699999839E-2,-7.599999756E-2,1.318863148E-1
1.871629930E-1,-5.600000173E-2,-4.699999839E-2,-6.300000101E-2,9.650906781E-2
1.921303770E-1,-8.299999684E-2,6.000000052E-3,-3.500000015E-2,9.027734758E-2
1.970977620E-1,-5.600000173E-2,1.999999955E-2,-1.580000073E-1,1.688194375E-1
2.020650700E-1,-8.299999684E-2,6.000000052E-3,-1.439999938E-1,1.663159574E-1
2.070325310E-1,3.799999878E-2,-6.100000069E-2,-2.199999988E-2,7.515982960E-2
2.119999160E-1,-1.509999931E-1,-6.000000052E-3,-1.030000001E-1,1.828824703E-1
2.169672240E-1,-5.600000173E-2,1.999999955E-2,-6.300000101E-2,8.663140483E-2
2.219346850E-1,-1.499999966E-2,-4.699999839E-2,4.999999888E-3,4.958830343E-2
2.269020790E-1,-1.099999994E-1,7.400000095E-2,1.410000026E-1,1.935381119E-1
2.318694630E-1,-7.000000030E-2,3.299999982E-2,1.410000026E-1,1.608415393E-1
2.368367710E-1,-8.299999684E-2,6.000000052E-3,-1.720000058E-1,1.910732883E-1
2.418042430E-1,-5.600000173E-2,7.400000095E-2,-2.119999975E-1,2.314216914E-1
2.467716270E-1,-1.379999965E-1,6.000000052E-3,-1.850000024E-1,2.308787559E-1
2.517389350E-1,-7.000000030E-2,-3.400000185E-2,-4.899999872E-2,9.196194888E-2
2.567062910E-1,-8.299999684E-2,-6.100000069E-2,-8.000000380E-3,1.033150500E-1
2.616737520E-1,-1.110000014E-1,1.999999955E-2,5.900000036E-2,1.272870785E-1
2.666411120E-1,-8.299999684E-2,-6.000000052E-3,-7.599999756E-2,1.126987094E-1
2.716084960E-1,-4.199999943E-2,1.999999955E-2,4.500000179E-2,6.472248524E-2
2.765758810E-1,-8.299999684E-2,-1.999999955E-2,-2.259999961E-1,2.415884883E-1
2.815432370E-1,-1.499999966E-2,-4.699999839E-2,-7.599999756E-2,9.060904738E-2
2.865105440E-1,-7.800000161E-2,3.099999949E-2,-1.720000058E-1,1.913870482E-1
2.914780060E-1,-9.099999815E-2,-6.400000304E-2,-7.599999756E-2,1.347330683E-1
2.964453720E-1,-1.049999967E-1,4.399999976E-2,-8.000000380E-3,1.141271190E-1
3.014127560E-1,-9.099999815E-2,8.500000089E-2,-3.500000015E-2,1.293483662E-1
3.063801360E-1,-3.400000185E-2,5.400000140E-2,-7.599999756E-2,9.923708936E-2
3.113475200E-1,1.899999939E-2,5.299999937E-2,4.999999888E-3,5.652433024E-2
3.163149050E-1,-1.019999981E-1,1.080000028E-1,-1.169999987E-1,1.890952139E-1
3.212822990E-1,-3.400000185E-2,2.600000054E-2,-6.300000101E-2,7.616429794E-2
3.262496830E-1,-4.500000179E-2,-6.400000304E-2,-9.000000358E-2,1.192518394E-1
3.312170680E-1,-7.199999690E-2,5.799999833E-2,-8.000000380E-3,9.280085865E-2
3.361846880E-1,-5.799999833E-2,4.399999976E-2,-1.040000021E-1,1.269488095E-1
3.411520730E-1,-7.100000232E-2,3.099999949E-2,-1.580000073E-1,1.759715960E-1
3.461192130E-1,-4.100000113E-2,-7.199999690E-2,3.099999949E-2,8.846468004E-2
3.510868280E-1,2.600000054E-2,-1.700000092E-2,4.000000190E-3,3.132092050E-2
3.560539820E-1,-1.400000043E-2,-5.799999833E-2,4.000000190E-3,5.979966405E-2
3.610213950E-1,-5.400000140E-2,8.999999613E-3,-8.000000380E-3,5.532630613E-2
3.659887790E-1,-6.400000304E-2,-1.180000007E-1,-5.000000075E-2,1.432480388E-1
3.709563950E-1,-7.699999958E-2,7.299999893E-2,-9.000000358E-2,1.391330314E-1
3.759235640E-1,-5.000000075E-2,-8.000000380E-3,-1.180000007E-1,1.284056083E-1
3.808909480E-1,-6.300000101E-2,4.999999888E-3,-9.000000358E-2,1.099727274E-1
3.858583230E-1,-3.400000185E-2,1.700000092E-2,-7.699999958E-2,8.587199830E-2
3.908259380E-1,-1.999999955E-2,1.700000092E-2,-5.000000075E-2,5.647123239E-2
3.957930920E-1,-1.999999955E-2,4.399999976E-2,-5.000000075E-2,6.954135486E-2
4.007606880E-1,-3.299999982E-2,-3.599999845E-2,-9.099999815E-2,1.032763261E-1
4.057280730E-1,-8.200000226E-2,1.600000076E-2,-7.699999958E-2,1.136177818E-1
4.106954580E-1,-1.300000027E-2,-7.900000364E-2,-7.699999958E-2,1.110810538E-1
4.156626210E-1,-8.100000024E-2,8.399999887E-2,4.500000179E-2,1.250679816E-1
4.206302360E-1,6.700000167E-2,2.000000095E-3,7.199999690E-2,9.837174278E-2
4.255973810E-1,-1.140000001E-1,6.599999964E-2,3.099999949E-2,1.353255332E-1
4.305647650E-1,-3.200000152E-2,-7.000000030E-2,-2.300000004E-2,8.033056791E-2
4.355321500E-1,3.500000015E-2,5.099999905E-2,4.000000190E-3,6.198386818E-2
4.404997790E-1,-7.299999893E-2,1.099999994E-2,1.809999943E-1,1.954763356E-1
4.454669330E-1,-6.800000370E-2,-3.999999911E-2,4.399999976E-2,9.033272059E-2
4.504343180E-1,-5.400000140E-2,-5.400000140E-2,-2.129999995E-1,2.262763799E-1
4.554019090E-1,-3.999999911E-2,-3.999999911E-2,-2.000000030E-1,2.078460994E-1
4.603692940E-1,-5.400000140E-2,0.000000000E0,-2.269999981E-1,2.333345223E-1
4.653367080E-1,-1.200000010E-2,-2.400000021E-2,-3.599999845E-2,4.489988754E-2
4.703040920E-1,8.200000226E-2,-7.900000364E-2,5.799999833E-2,1.277849786E-1
4.752714770E-1,-5.299999937E-2,5.700000003E-2,-3.599999845E-2,8.575546528E-2
4.802389470E-1,1.400000043E-2,2.000000095E-3,4.399999976E-2,4.621687994E-2
4.852062550E-1,-2.400000021E-2,2.000000095E-3,5.799999833E-2,6.280127241E-2
4.901736400E-1,-6.499999762E-2,5.600000173E-2,-1.860000044E-1,2.048340829E-1
4.951410530E-1,-6.499999762E-2,5.600000173E-2,-5.000000075E-2,9.930256773E-2
5.001084380E-1,-3.700000048E-2,2.000000095E-3,-1.860000044E-1,1.896549543E-1
