"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.039333390E-1,1.700000092E-2,2.800000086E-2,-6.400000304E-2,7.189576113E-2
1.089004160E-1,2.000000095E-3,-2.899999917E-2,-9.000000358E-2,9.457801328E-2
1.138672080E-1,-3.099999949E-2,-9.999999776E-3,-6.300000101E-2,7.092249355E-2
1.188342850E-1,2.999999933E-2,5.900000036E-2,-6.599999964E-2,9.347192068E-2
1.238013760E-1,4.399999976E-2,1.539999992E-1,-3.999999911E-2,1.650817968E-1
1.287681450E-1,3.299999982E-2,-3.900000080E-2,-9.099999815E-2,1.043599526E-1
1.337352220E-1,2.999999933E-2,4.600000009E-2,-6.599999964E-2,8.586035127E-2
1.387023070E-1,1.700000092E-2,-5.900000036E-2,-1.040000021E-1,1.207725156E-1
1.436691530E-1,1.300000027E-2,5.400000140E-2,-1.070000008E-1,1.205570418E-1
1.486361530E-1,4.999999888E-3,2.800000086E-2,-1.720000058E-1,1.743358886E-1
1.533063310E-1,-1.300000027E-2,-8.299999684E-2,-5.939999819E-1,5.999116418E-1
1.585701000E-1,-1.000000047E-3,8.000000380E-3,1.400000006E-1,1.402319513E-1
1.635371770E-1,-3.900000080E-2,3.999999911E-2,-7.599999756E-2,9.432390800E-2
1.685039590E-1,-1.000000047E-3,-5.700000003E-2,3.099999949E-2,6.489221812E-2
1.734710360E-1,1.410000026E-1,-3.299999982E-2,1.270000041E-1,1.926110115E-1
1.784380360E-1,3.200000152E-2,-3.299999982E-2,-1.850000024E-1,1.906252894E-1
1.834048830E-1,4.600000009E-2,-1.550000012E-1,-3.079999983E-1,3.478577286E-1
1.883719600E-1,3.200000152E-2,-1.829999983E-1,-2.129999995E-1,2.826340377E-1
1.933389590E-1,4.999999888E-3,-1.280000061E-1,-1.449999958E-1,1.934786819E-1
1.983060350E-1,5.900000036E-2,-1.899999939E-2,-1.169999987E-1,1.324046816E-1
2.032728050E-1,4.999999888E-3,-7.400000095E-2,5.900000036E-2,9.477341495E-2
2.082398820E-1,-2.099999972E-2,-1.899999939E-2,-8.000000380E-3,2.942787745E-2
2.132069590E-1,-4.899999872E-2,-8.699999750E-2,1.799999923E-2,1.014593486E-1
2.181737990E-1,4.999999888E-3,-8.699999750E-2,-1.449999958E-1,1.691715057E-1
2.231407990E-1,-3.500000015E-2,-8.699999750E-2,-7.599999756E-2,1.207062517E-1
2.281078760E-1,-8.000000380E-3,-1.420000046E-1,-8.000000380E-3,1.424499959E-1
2.330746550E-1,-2.099999972E-2,-3.299999982E-2,-8.000000380E-3,3.992492933E-2
2.380417320E-1,3.200000152E-2,-1.010000035E-1,-7.599999756E-2,1.303878845E-1
2.430085770E-1,-8.000000380E-3,-1.280000061E-1,-8.000000380E-3,1.284990333E-1
2.479756540E-1,3.200000152E-2,-1.280000061E-1,-1.449999958E-1,1.960433637E-1
2.529426540E-1,5.900000036E-2,-6.000000052E-3,-7.599999756E-2,9.640020576E-2
2.579095140E-1,4.600000009E-2,-1.010000035E-1,-7.599999756E-2,1.345102240E-1
2.628765910E-1,8.699999750E-2,-8.799999952E-2,3.200000152E-2,1.278162727E-1
2.678436680E-1,-8.000000380E-3,-1.150000021E-1,4.500000179E-2,1.237497501E-1
2.728104480E-1,3.200000152E-2,-1.420000046E-1,-8.000000380E-3,1.457806620E-1
2.777775250E-1,4.600000009E-2,-4.699999839E-2,-1.169999987E-1,1.342162418E-1
2.827446160E-1,4.999999888E-3,-1.899999939E-2,-1.449999958E-1,1.463249766E-1
2.877113850E-1,-8.000000380E-3,-5.999999866E-2,-1.309999973E-1,1.443086939E-1
2.926784620E-1,8.699999750E-2,3.400000185E-2,-1.309999973E-1,1.608912644E-1
2.976455570E-1,-8.000000380E-3,3.400000185E-2,-6.300000101E-2,7.203471565E-2
3.026125570E-1,-1.999999955E-2,-5.600000173E-2,-2.199999988E-2,6.340347128E-2
3.075794030E-1,3.400000185E-2,-8.299999684E-2,4.500000179E-2,1.003493884E-1
3.125463890E-1,7.000000216E-3,-4.199999943E-2,-3.599999845E-2,5.575840604E-2
3.175134660E-1,1.019999981E-1,-1.379999965E-1,-1.040000021E-1,2.006589123E-1
3.224802850E-1,-6.000000052E-3,-1.030000001E-1,-1.449999958E-1,1.779606665E-1
