"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.059839360E-1,1.220000014E-1,1.220000014E-1,-6.800000370E-2,1.854508053E-1
1.109510900E-1,2.999999933E-2,7.000000216E-3,-1.350000054E-1,1.384702185E-1
1.159183980E-1,7.100000232E-2,1.000000047E-3,-1.040000021E-1,1.259285543E-1
1.208854840E-1,6.000000052E-3,0.000000000E0,-1.169999987E-1,1.171537438E-1
1.258526380E-1,-8.000000380E-3,3.099999949E-2,-7.999999821E-2,8.616843789E-2
1.308199450E-1,-3.500000015E-2,1.499999966E-2,-2.300000004E-2,4.448595287E-2
1.357867570E-1,-3.900000080E-2,7.699999958E-2,-1.860000044E-1,2.050512171E-1
1.407540640E-1,5.799999833E-2,-2.700000070E-2,-8.000000380E-3,6.447480012E-2
1.457212180E-1,3.099999949E-2,3.099999949E-2,-9.399999678E-2,1.037207758E-1
1.506885160E-1,8.299999684E-2,-8.799999952E-2,-8.999999613E-3,1.213012753E-1
1.556555930E-1,-1.099999994E-2,-1.400000043E-2,-8.000000380E-3,1.951922173E-2
1.606227270E-1,-6.300000101E-2,5.600000173E-2,-1.720000058E-1,1.915437348E-1
1.655898040E-1,4.300000146E-2,-1.010000035E-1,-7.699999958E-2,1.340857963E-1
1.705571110E-1,8.299999684E-2,-9.300000221E-2,-1.449999958E-1,1.912145357E-1
1.755241920E-1,9.700000286E-2,-1.480000019E-1,-1.309999973E-1,2.201681185E-1
1.804913460E-1,2.000000095E-3,-1.199999973E-1,-2.199999988E-2,1.220163897E-1
1.854586340E-1,1.239999980E-1,-9.300000221E-2,-1.449999958E-1,2.122498497E-1
1.904257880E-1,8.299999684E-2,-6.599999964E-2,-1.040000021E-1,1.485294579E-1
1.953928650E-1,7.000000030E-2,-1.340000033E-1,-1.040000021E-1,1.834993226E-1
2.003601810E-1,8.299999684E-2,-1.099999994E-2,-1.580000073E-1,1.788127562E-1
2.053272580E-1,9.700000286E-2,-5.200000107E-2,-4.899999872E-2,1.204740658E-1
2.102943350E-1,9.700000286E-2,-1.070000008E-1,-9.000000358E-2,1.701705067E-1
2.152614700E-1,1.239999980E-1,-1.099999994E-2,-4.899999872E-2,1.337834047E-1
2.202287780E-1,1.000000047E-3,-1.199999973E-1,-1.040000021E-1,1.587986140E-1
2.251958350E-1,5.600000173E-2,-3.900000080E-2,-7.599999756E-2,1.021420574E-1
2.301629890E-1,1.099999994E-1,-6.599999964E-2,-3.599999845E-2,1.332366305E-1
2.351302860E-1,1.000000047E-3,-3.900000080E-2,-6.300000101E-2,7.410128333E-2
2.400973630E-1,2.899999917E-2,-2.500000037E-2,-3.599999845E-2,5.255473203E-2
2.450644400E-1,7.000000030E-2,-1.340000033E-1,-9.000000358E-2,1.759431771E-1
2.500315940E-1,7.000000030E-2,-1.070000008E-1,-6.300000101E-2,1.425412233E-1
2.549989020E-1,1.239999980E-1,-1.070000008E-1,-1.169999987E-1,2.012808967E-1
2.599660550E-1,1.379999965E-1,-7.999999821E-2,-7.599999756E-2,1.766918175E-1
2.649331410E-1,7.000000030E-2,-9.300000221E-2,-3.599999845E-2,1.218400605E-1
