"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.019481920E-1,4.000000190E-3,-1.400000043E-2,-8.999999613E-3,1.711724296E-2
1.069153010E-1,3.200000152E-2,-2.800000086E-2,-2.199999988E-2,4.787483828E-2
1.118824550E-1,8.000000380E-3,9.999999776E-3,-6.300000101E-2,6.428841365E-2
1.168498540E-1,-3.000000026E-3,-3.099999949E-2,7.199999690E-2,7.844743159E-2
1.218169310E-1,2.600000054E-2,-5.999999866E-2,-6.300000101E-2,9.080198233E-2
1.267842380E-1,6.499999762E-2,-1.799999923E-2,-4.899999872E-2,8.336665722E-2
1.317513960E-1,9.899999946E-2,1.070000008E-1,0.000000000E0,1.457737976E-1
1.367184730E-1,4.100000113E-2,3.999999911E-2,-3.599999845E-2,6.765352844E-2
1.416858580E-1,-7.000000216E-3,1.700000092E-2,3.099999949E-2,3.604164262E-2
1.466531590E-1,-3.200000152E-2,-1.200000010E-2,-3.099999949E-2,4.614108872E-2
1.516203130E-1,-2.099999972E-2,1.099999994E-2,1.799999923E-2,2.976575144E-2
1.565873890E-1,-3.999999911E-2,4.999999888E-3,7.199999690E-2,8.251666184E-2
1.615547740E-1,-3.000000026E-3,-2.700000070E-2,-4.500000179E-2,5.256424830E-2
1.665218510E-1,1.999999955E-2,2.400000021E-2,-2.399999946E-1,2.420247868E-1
1.714892300E-1,-3.999999911E-2,-7.000000216E-3,1.799999923E-2,4.441846354E-2
1.764563070E-1,-1.300000027E-2,-7.000000216E-3,-2.199999988E-2,2.649528269E-2
1.814236150E-1,-1.300000027E-2,1.280000061E-1,-9.000000358E-2,1.570127454E-1
1.863908060E-1,-1.300000027E-2,-7.000000216E-3,-1.040000021E-1,1.050428506E-1
1.913578830E-1,-2.700000070E-2,-2.099999972E-2,-2.199999988E-2,4.066939907E-2
1.963252720E-1,2.700000070E-2,3.299999982E-2,-9.000000358E-2,9.958915940E-2
2.012925800E-1,5.400000140E-2,6.000000052E-3,-3.599999845E-2,6.517668326E-2
2.062597340E-1,-2.700000070E-2,-6.100000069E-2,-1.169999987E-1,1.346811041E-1
2.112268290E-1,1.300000027E-2,4.699999839E-2,-6.300000101E-2,7.966806125E-2
2.161942140E-1,-5.400000140E-2,-4.800000042E-2,-1.040000021E-1,1.266333315E-1
2.211615210E-1,-1.300000027E-2,-8.900000155E-2,1.799999923E-2,9.172785975E-2
2.261286170E-1,-3.999999911E-2,-8.900000155E-2,-9.000000358E-2,1.327441179E-1
2.310957710E-1,-1.300000027E-2,-1.999999955E-2,4.000000190E-3,2.418677305E-2
2.360631800E-1,3.999999911E-2,3.299999982E-2,-6.300000101E-2,8.159656883E-2
2.410302570E-1,0.000000000E0,-2.099999972E-2,-7.599999756E-2,7.884795252E-2
2.459975640E-1,-5.400000140E-2,-7.500000298E-2,3.200000152E-2,9.780082155E-2
2.509647520E-1,1.300000027E-2,-7.000000216E-3,-6.300000101E-2,6.470703314E-2
2.559320600E-1,1.300000027E-2,-4.800000042E-2,-6.300000101E-2,8.026207183E-2
2.608992420E-1,4.100000113E-2,-7.500000298E-2,3.200000152E-2,9.126883716E-2
2.658665490E-1,-2.600000054E-2,-1.159999967E-1,-4.899999872E-2,1.285807106E-1
2.708339680E-1,-2.600000054E-2,-2.099999972E-2,-4.899999872E-2,5.931272958E-2
2.758010450E-1,0.000000000E0,-2.099999972E-2,-1.169999987E-1,1.188696752E-1
2.807681220E-1,2.700000070E-2,6.000000052E-3,-4.899999872E-2,5.626721881E-2
2.857355210E-1,-2.600000054E-2,-7.000000216E-3,-3.599999845E-2,4.495553269E-2
2.907025980E-1,-5.299999937E-2,-4.800000042E-2,-6.300000101E-2,9.529952834E-2
2.956697510E-1,-1.300000027E-2,-7.500000298E-2,-4.899999872E-2,9.052624110E-2
3.006371220E-1,-1.200000010E-2,-3.200000152E-2,4.000000190E-3,3.440930254E-2
3.056041990E-1,1.000000047E-3,-3.200000152E-2,-1.309999973E-1,1.348554759E-1
3.105714970E-1,-5.299999937E-2,-4.999999888E-3,-4.899999872E-2,7.235329852E-2
3.155386500E-1,-2.500000037E-2,1.030000001E-1,-1.309999973E-1,1.685081580E-1
3.205059580E-1,-8.699999750E-2,-4.999999888E-3,-7.699999958E-2,1.162884324E-1
3.254733430E-1,8.000000380E-3,-4.000000190E-3,-4.899999872E-2,4.980963644E-2
3.304404200E-1,2.099999972E-2,8.000000380E-3,4.000000190E-3,2.282542433E-2
3.354075740E-1,8.000000380E-3,3.500000015E-2,-6.300000101E-2,7.251206896E-2
3.403748760E-1,7.000000216E-3,4.600000009E-2,-3.599999845E-2,5.883026347E-2
3.453419530E-1,-4.999999888E-3,-3.500000015E-2,-8.000000380E-3,3.624913813E-2
3.503093620E-1,-7.400000095E-2,5.900000036E-2,-7.699999958E-2,1.220081969E-1
3.552765160E-1,-4.999999888E-3,4.000000190E-3,-2.199999988E-2,2.291287837E-2
3.602438230E-1,-5.600000173E-2,-1.999999955E-2,-7.699999958E-2,9.728823213E-2
3.652109000E-1,2.500000037E-2,8.799999952E-2,-1.040000021E-1,1.385099288E-1
3.701780540E-1,2.500000037E-2,3.299999982E-2,-3.599999845E-2,5.486346594E-2
3.751454440E-1,-1.000000047E-3,-1.019999981E-1,-9.000000358E-2,1.360330851E-1
3.801127520E-1,-2.700000070E-2,-5.700000003E-2,-7.699999958E-2,9.953391370E-2
3.850798290E-1,0.000000000E0,5.099999905E-2,-1.180000007E-1,1.285496016E-1
3.900469580E-1,-1.300000027E-2,-5.700000003E-2,-1.309999973E-1,1.434538229E-1
3.950142660E-1,0.000000000E0,-5.700000003E-2,-6.300000101E-2,8.495881432E-2
3.999814250E-1,0.000000000E0,4.800000042E-2,-9.000000358E-2,1.020000034E-1
4.049487330E-1,-1.300000027E-2,6.000000052E-3,-1.040000021E-1,1.049809528E-1
4.099159100E-1,-8.100000024E-2,7.000000216E-3,-1.040000021E-1,1.320075774E-1
4.148829870E-1,-3.999999911E-2,1.999999955E-2,-1.180000007E-1,1.261903327E-1
4.198502950E-1,1.200000010E-2,-1.799999923E-2,-8.999999613E-3,2.343074834E-2
