"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.097280160E-1,6.000000052E-3,8.000000380E-3,-1.030000001E-1,1.034842985E-1
1.146947850E-1,1.089999974E-1,8.699999750E-2,-7.599999756E-2,1.588269455E-1
1.196615590E-1,-2.899999917E-2,-1.499999966E-2,-1.000000015E-1,1.051950581E-1
1.246282510E-1,1.300000027E-2,1.000000047E-3,-2.899999917E-1,2.902929472E-1
1.295950290E-1,-2.600000054E-2,8.000000380E-3,-1.990000010E-1,2.008506918E-1
1.345617990E-1,7.000000030E-2,1.899999939E-2,-2.099999972E-2,7.551158856E-2
1.395282500E-1,7.699999958E-2,3.099999949E-2,-8.000000380E-3,8.339064642E-2
1.444950190E-1,3.400000185E-2,1.600000076E-2,-9.000000358E-2,9.752948679E-2
1.494618650E-1,-1.600000076E-2,-2.700000070E-2,-3.599999845E-2,4.775981523E-2
1.544285720E-1,6.700000167E-2,3.400000185E-2,-1.430000067E-1,1.615363806E-1
1.593951100E-1,-4.000000190E-3,4.999999888E-3,-3.039999902E-1,3.040674170E-1
1.643618650E-1,-3.099999949E-2,-1.400000043E-2,-8.500000089E-2,9.155326391E-2
1.693285570E-1,-2.400000021E-2,-4.999999888E-3,-4.899999872E-2,5.479050906E-2
1.742950890E-1,4.100000113E-2,7.400000095E-2,-1.449999958E-1,1.678749506E-1
1.792618590E-1,9.700000286E-2,4.999999888E-3,-1.040000021E-1,1.423024982E-1
1.842286280E-1,9.600000083E-2,-7.000000216E-3,-1.169999987E-1,1.515057750E-1
1.891952920E-1,-1.099999994E-2,3.299999982E-2,-2.259999961E-1,2.286613177E-1
1.941620610E-1,1.239999980E-1,1.899999939E-2,-9.000000358E-2,1.543923577E-1
1.991288310E-1,9.700000286E-2,1.899999939E-2,-1.720000058E-1,1.983784327E-1
2.040953350E-1,4.199999943E-2,-3.400000185E-2,-9.000000358E-2,1.049761912E-1
2.090621040E-1,1.000000047E-3,-7.000000216E-3,-7.599999756E-2,7.632823614E-2
2.140288740E-1,6.899999827E-2,-7.000000216E-3,-1.850000024E-1,1.975727730E-1
2.189955610E-1,8.299999684E-2,-4.800000042E-2,-1.169999987E-1,1.512679715E-1
2.239620990E-1,1.099999994E-1,-7.500000298E-2,-1.169999987E-1,1.772399504E-1
2.289288690E-1,4.199999943E-2,-7.000000216E-3,-8.000000380E-3,4.332435760E-2
2.338956470E-1,1.239999980E-1,-1.019999981E-1,-7.599999756E-2,1.776400820E-1
2.388623390E-1,1.239999980E-1,-3.400000185E-2,-7.599999756E-2,1.493586263E-1
2.438291080E-1,2.800000086E-2,7.400000095E-2,-1.169999987E-1,1.412409285E-1
2.487958780E-1,6.899999827E-2,8.699999750E-2,-1.580000073E-1,1.931165493E-1
2.537624160E-1,1.379999965E-1,3.299999982E-2,-7.599999756E-2,1.609627245E-1
2.587291020E-1,8.299999684E-2,3.299999982E-2,-6.300000101E-2,1.093023311E-1
2.636959490E-1,7.000000030E-2,1.010000035E-1,-2.199999988E-2,1.248399005E-1
2.686624100E-1,1.110000014E-1,7.400000095E-2,-9.000000358E-2,1.609254520E-1
2.736291790E-1,1.920000017E-1,7.400000095E-2,-1.580000073E-1,2.594301507E-1
2.785959490E-1,1.110000014E-1,1.899999939E-2,-1.309999973E-1,1.727512650E-1
2.835627080E-1,1.159999967E-1,-3.200000152E-2,-1.990000010E-1,2.325532191E-1
2.885294000E-1,3.299999982E-2,-4.000000190E-3,-4.899999872E-2,5.921148423E-2
2.934961690E-1,1.010000035E-1,-8.600000292E-2,-6.300000101E-2,1.468536732E-1
2.984629340E-1,1.010000035E-1,-8.600000292E-2,-9.000000358E-2,1.603028442E-1
3.034293950E-1,1.799999923E-2,-7.999999821E-2,-4.899999872E-2,9.552486357E-2
3.083961640E-1,1.539999992E-1,-7.900000364E-2,-1.299999952E-1,2.164647756E-1
3.133629390E-1,1.129999980E-1,1.000000047E-3,-1.299999952E-1,1.722498137E-1
3.183297080E-1,3.099999949E-2,-9.300000221E-2,-4.899999872E-2,1.095947091E-1
3.232962550E-1,1.049999967E-1,-2.300000004E-2,-1.710000038E-1,2.019777231E-1
3.282630250E-1,2.300000004E-2,1.700000092E-2,-2.389999926E-1,2.407052066E-1
3.332297940E-1,6.400000304E-2,-7.699999958E-2,-1.570000052E-1,1.862095647E-1
3.381964960E-1,6.400000304E-2,-8.999999613E-3,-4.800000042E-2,8.050466087E-2
3.431632650E-1,-1.600000076E-2,-8.000000380E-3,-1.979999989E-1,1.988064375E-1
3.481300350E-1,-2.999999933E-2,-4.899999872E-2,-1.299999952E-1,1.421302170E-1
3.530965970E-1,3.700000048E-2,4.500000179E-2,-1.710000038E-1,1.806516025E-1
3.580632900E-1,1.190000027E-1,1.799999923E-2,-8.900000155E-2,1.496863417E-1
3.630300400E-1,2.199999988E-2,2.899999917E-2,-8.000000380E-3,3.726928967E-2
3.679965780E-1,7.699999958E-2,1.600000076E-2,-1.169999987E-1,1.409751739E-1
3.729633470E-1,6.300000101E-2,2.899999917E-2,-1.299999952E-1,1.473431330E-1
3.779301260E-1,4.899999872E-2,-2.400000021E-2,-6.199999899E-2,8.258934410E-2
3.828968950E-1,8.399999887E-2,5.299999937E-2,-8.900000155E-2,1.333641632E-1
3.878635870E-1,9.600000083E-2,2.500000037E-2,-7.599999756E-2,1.249679951E-1
3.928301150E-1,8.299999684E-2,2.500000037E-2,-1.439999938E-1,1.680773563E-1
3.977968840E-1,6.899999827E-2,3.900000080E-2,-7.000000216E-3,7.956758025E-2
4.027636490E-1,3.900000080E-2,1.000000015E-1,-7.599999756E-2,1.315180596E-1
4.077303420E-1,2.500000037E-2,-6.300000101E-2,-7.599999756E-2,1.018331958E-1
4.126971300E-1,3.900000080E-2,1.129999980E-1,-1.030000001E-1,1.577941686E-1
4.176638990E-1,9.300000221E-2,7.199999690E-2,-2.119999975E-1,2.424396810E-1
4.226304280E-1,2.300000004E-2,7.999999821E-2,-1.030000001E-1,1.324311132E-1
4.275971970E-1,3.700000048E-2,-4.199999943E-2,-1.030000001E-1,1.172262770E-1
4.325639660E-1,-2.999999933E-2,-8.299999684E-2,-8.900000155E-2,1.253395377E-1
4.375306440E-1,7.800000161E-2,-9.700000286E-2,-1.299999952E-1,1.799805533E-1
4.424971830E-1,3.400000185E-2,-9.000000358E-2,-1.299999952E-1,1.617281655E-1
4.474639520E-1,3.400000185E-2,-8.900000155E-2,-1.159999967E-1,1.501099585E-1
4.524306440E-1,1.289999932E-1,-4.899999872E-2,-1.159999967E-1,1.802720093E-1
4.573974140E-1,1.289999932E-1,-1.169999987E-1,-7.500000298E-2,1.896180329E-1
4.623641870E-1,4.399999976E-2,-5.799999833E-2,-7.500000298E-2,1.045227259E-1
4.673307250E-1,1.600000076E-2,-5.700000003E-2,-1.979999989E-1,2.066615581E-1
4.722974180E-1,5.700000003E-2,-3.000000026E-3,-1.840000004E-1,1.926499420E-1
4.772642640E-1,3.000000026E-3,-4.399999976E-2,-4.800000042E-2,6.518435410E-2
4.822309560E-1,-8.999999613E-3,4.699999839E-2,-7.500000298E-2,8.896628737E-2
4.871977250E-1,-5.000000075E-2,4.699999839E-2,-4.800000042E-2,8.374365626E-2
4.921642740E-1,4.399999976E-2,6.000000052E-3,-1.030000001E-1,1.121650570E-1
4.971310430E-1,-5.099999905E-2,-3.400000185E-2,-6.199999899E-2,8.718371352E-2
5.020977450E-1,6.599999964E-2,6.899999827E-2,-1.430000067E-1,1.719476712E-1
5.070645150E-1,-2.000000095E-3,-3.900000080E-2,-1.299999952E-1,1.357387153E-1
5.120312840E-1,1.340000033E-1,-5.299999937E-2,-1.840000004E-1,2.337113625E-1
5.169978070E-1,6.599999964E-2,-7.999999821E-2,-1.430000067E-1,1.766493747E-1
5.219645770E-1,-2.000000095E-3,-3.700000048E-2,-1.019999981E-1,1.085218856E-1
5.269313460E-1,-2.000000095E-3,-8.999999613E-3,-7.500000298E-2,7.556454486E-2
