"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.019839670E-1,8.699999750E-2,5.499999970E-2,-1.480000019E-1,1.802720170E-1
1.069507370E-1,7.800000161E-2,7.699999958E-2,-6.599999964E-2,1.279413934E-1
1.119175060E-1,-2.300000004E-2,-3.299999982E-2,-1.180000007E-1,1.246675586E-1
1.168842300E-1,-1.300000027E-2,2.700000070E-2,4.000000190E-3,3.023243368E-2
1.218509990E-1,-4.500000179E-2,-6.800000370E-2,-6.300000101E-2,1.030436839E-1
1.268177690E-1,-3.400000185E-2,-5.499999970E-2,-8.000000380E-3,6.515366528E-2
1.317845080E-1,-4.600000009E-2,-7.900000364E-2,-3.599999845E-2,9.824968433E-2
1.367510460E-1,-2.099999972E-2,-4.000000190E-3,-1.449999958E-1,1.465673865E-1
1.417180460E-1,4.100000113E-2,7.199999690E-2,-7.900000364E-2,1.144814405E-1
1.466848620E-1,1.389999986E-1,1.209999993E-1,-2.600000054E-2,1.861128676E-1
1.516514000E-1,-2.300000004E-2,-3.099999949E-2,-8.999999613E-3,3.963584191E-2
1.566181690E-1,-2.899999917E-2,-5.000000075E-2,-1.040000021E-1,1.189831941E-1
1.615849370E-1,-5.799999833E-2,-8.699999750E-2,-8.000000380E-3,1.048665789E-1
1.665517070E-1,-3.599999845E-2,-1.899999939E-2,-2.199999988E-2,4.627093969E-2
1.715185080E-1,6.000000052E-3,-6.899999827E-2,-1.169999987E-1,1.359632283E-1
1.764852770E-1,-1.019999981E-1,-9.600000083E-2,-7.599999756E-2,1.593612230E-1
1.814519980E-1,-7.400000095E-2,-6.899999827E-2,-7.599999756E-2,1.265424811E-1
1.864187670E-1,-6.100000069E-2,-4.199999943E-2,-7.599999756E-2,1.061178574E-1
1.913855360E-1,-4.699999839E-2,-8.299999684E-2,4.000000190E-3,9.546726835E-2
1.963523040E-1,-1.999999955E-2,-5.499999970E-2,-1.040000021E-1,1.193356627E-1
2.013188430E-1,-3.400000185E-2,-2.800000086E-2,-6.300000101E-2,7.687002213E-2
2.062856120E-1,-1.150000021E-1,-5.499999970E-2,1.799999923E-2,1.287400498E-1
2.112526350E-1,-6.000000052E-3,2.500000037E-2,-1.169999987E-1,1.197914843E-1
2.162191730E-1,-6.100000069E-2,-8.299999684E-2,-1.169999987E-1,1.558813627E-1
2.211859610E-1,-4.699999839E-2,-1.099999994E-1,-7.599999756E-2,1.417215557E-1
2.261527300E-1,-1.999999955E-2,-1.499999966E-2,-7.599999756E-2,8.000624726E-2
2.311194220E-1,3.400000185E-2,-6.899999827E-2,-1.850000024E-1,2.003546874E-1
2.360862160E-1,-8.799999952E-2,-8.299999684E-2,-1.580000073E-1,1.989899537E-1
2.410530620E-1,-7.500000298E-2,-1.400000043E-2,-3.599999845E-2,8.436231592E-2
2.460197540E-1,1.999999955E-2,-6.899999827E-2,-7.599999756E-2,1.045801098E-1
2.509865120E-1,-6.000000052E-3,-1.230000034E-1,-1.169999987E-1,1.698646536E-1
2.559532810E-1,-6.000000052E-3,-6.899999827E-2,-4.899999872E-2,8.484102567E-2
2.609198240E-1,-6.100000069E-2,-4.199999943E-2,-7.599999756E-2,1.061178574E-1
2.658865930E-1,4.699999839E-2,-8.299999684E-2,-7.599999756E-2,1.219590052E-1
2.708533620E-1,-1.019999981E-1,-1.509999931E-1,-1.449999958E-1,2.328733482E-1
2.758203670E-1,-8.799999952E-2,-2.049999982E-1,-7.599999756E-2,2.356798651E-1
2.807868290E-1,-7.000000030E-2,-1.400000043E-2,-2.199999988E-2,7.469939791E-2
2.857535980E-1,2.039999962E-1,1.400000043E-2,-9.499999881E-2,2.254706150E-1
2.907204530E-1,1.899999976E-1,5.400000140E-2,-5.400000140E-2,2.047730436E-1
2.956871460E-1,2.579999864E-1,1.300000027E-2,-8.100000024E-2,2.707286336E-1
3.006539530E-1,1.650000066E-1,7.599999756E-2,-1.770000011E-1,2.536335983E-1
3.056207220E-1,1.630000025E-1,3.400000185E-2,-1.630000025E-1,2.330107331E-1
3.105874910E-1,2.989999950E-1,6.199999899E-2,-8.100000024E-2,3.159208713E-1
3.155540200E-1,2.450000048E-1,7.500000298E-2,-3.999999911E-2,2.593260548E-1
3.205210200E-1,2.669999897E-1,4.500000179E-2,3.999999911E-2,2.737042101E-1
