"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.052091870E-1,2.500000037E-2,-4.000000190E-3,-2.300000004E-2,3.420526308E-2
1.101761870E-1,-5.000000075E-2,-7.299999893E-2,-1.580000073E-1,1.810883823E-1
1.151429460E-1,-4.000000190E-3,-1.899999939E-2,-4.899999872E-2,5.270673442E-2
1.201097920E-1,-4.999999888E-3,-1.300000027E-2,-6.300000101E-2,6.452131534E-2
1.250765620E-1,6.400000304E-2,1.250000000E-1,-3.900000080E-2,1.457463566E-1
1.300435570E-1,8.200000226E-2,9.099999815E-2,-6.700000167E-2,1.396209163E-1
1.350103260E-1,-1.200000010E-2,-2.899999917E-2,-9.099999815E-2,9.626006242E-2
1.399771860E-1,-2.600000054E-2,-3.999999911E-2,-9.000000358E-2,1.018626556E-1
1.449439550E-1,3.900000080E-2,4.800000042E-2,-1.209999993E-1,1.358896609E-1
1.499109550E-1,7.699999958E-2,1.250000000E-1,-5.299999937E-2,1.560865141E-1
1.548777910E-1,6.100000069E-2,9.099999815E-2,-1.200000010E-2,1.102088914E-1
1.598445610E-1,-3.799999878E-2,-9.899999946E-2,7.199999690E-2,1.281756582E-1
1.648115610E-1,8.000000380E-3,1.799999923E-2,-1.199999973E-1,1.216059182E-1
1.697783100E-1,4.300000146E-2,6.100000069E-2,-2.500000037E-2,7.870832375E-2
1.747451560E-1,-5.099999905E-2,7.500000298E-2,-7.900000364E-2,1.202788465E-1
1.797119200E-1,7.100000232E-2,1.430000067E-1,-1.059999987E-1,1.916402932E-1
1.846789200E-1,4.300000146E-2,8.900000155E-2,-1.739999950E-1,2.001149636E-1
1.896456900E-1,1.120000035E-1,7.500000298E-2,-2.500000037E-2,1.370912150E-1
1.946125460E-1,7.100000232E-2,1.019999981E-1,-9.300000221E-2,1.552224222E-1
1.995793150E-1,8.399999887E-2,6.199999899E-2,-1.739999950E-1,2.029186979E-1
2.045463150E-1,2.000000095E-3,1.159999967E-1,-9.300000221E-2,1.486909534E-1
2.095130790E-1,9.799999744E-2,8.900000155E-2,-5.200000107E-2,1.422286887E-1
2.144799250E-1,8.399999887E-2,7.500000298E-2,-1.739999950E-1,2.072607018E-1
2.194469200E-1,5.700000003E-2,6.199999899E-2,-1.059999987E-1,1.353846358E-1
2.244136900E-1,7.100000232E-2,1.430000067E-1,1.499999966E-2,1.603589793E-1
2.293805360E-1,1.110000014E-1,8.900000155E-2,-1.059999987E-1,1.774204056E-1
2.343473090E-1,4.300000146E-2,1.710000038E-1,-1.059999987E-1,2.057328393E-1
2.393143090E-1,-9.999999776E-3,8.900000155E-2,-6.599999964E-2,1.112519673E-1
2.442810780E-1,4.300000146E-2,1.299999952E-1,-1.340000033E-1,1.915854895E-1
2.492479540E-1,-3.700000048E-2,1.979999989E-1,-1.059999987E-1,2.276159031E-1
2.542147230E-1,5.700000003E-2,7.500000298E-2,-5.200000107E-2,1.076011178E-1
2.591817030E-1,1.250000000E-1,8.900000155E-2,-3.799999878E-2,1.580822576E-1
2.641485490E-1,4.300000146E-2,1.030000001E-1,-6.599999964E-2,1.296688093E-1
2.691155490E-1,1.389999986E-1,7.500000298E-2,2.899999917E-2,1.605833117E-1
2.740823380E-1,1.600000076E-2,7.500000298E-2,-1.199999973E-1,1.424113753E-1
2.790491070E-1,1.110000014E-1,7.500000298E-2,-1.340000033E-1,1.894782353E-1
2.840159490E-1,6.599999964E-2,8.299999684E-2,-5.200000107E-2,1.181058827E-1
2.889829490E-1,-3.400000185E-2,-7.900000364E-2,-2.199999988E-2,8.877500039E-2
2.939497180E-1,-7.599999756E-2,-7.999999821E-2,-8.000000380E-3,1.106345305E-1
2.989165350E-1,-4.899999872E-2,-7.999999821E-2,-6.300000101E-2,1.130044234E-1
3.038835350E-1,-1.999999955E-2,0.000000000E0,-1.040000021E-1,1.059056204E-1
3.088500740E-1,-8.799999952E-2,-2.600000054E-2,-6.300000101E-2,1.113058852E-1
3.138170500E-1,-6.100000069E-2,-3.999999911E-2,-2.199999988E-2,7.619055064E-2
3.187838960E-1,-4.800000042E-2,1.400000043E-2,-8.000000380E-3,5.063595618E-2
3.237508910E-1,-7.000000030E-2,-7.500000298E-2,-7.699999958E-2,1.282731477E-1
3.287176600E-1,-1.000000047E-3,-7.500000298E-2,-7.699999958E-2,1.074941877E-1
3.336844290E-1,-4.199999943E-2,-3.400000185E-2,-3.599999845E-2,6.493073207E-2
3.386515110E-1,1.099999994E-2,-6.100000069E-2,-1.040000021E-1,1.210702297E-1
3.436180500E-1,-2.700000070E-2,1.799999923E-2,-8.999999613E-3,3.367491652E-2
3.485850500E-1,-2.700000070E-2,-9.000000358E-2,-3.599999845E-2,1.006230618E-1
3.535518860E-1,-1.300000027E-2,-3.500000015E-2,-3.599999845E-2,5.186520901E-2
