"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.482339800E-2,4.999999888E-3,7.999999821E-2,-3.799999878E-2,8.870738199E-2
1.979019900E-2,6.000000052E-3,2.700000070E-2,-9.000000358E-2,9.415413258E-2
2.475666000E-2,-4.000000190E-3,5.700000003E-2,-1.330000013E-1,1.447549666E-1
2.972347100E-2,1.499999966E-2,4.199999943E-2,-1.340000033E-1,1.412267710E-1
3.469024000E-2,-7.000000216E-3,1.499999966E-2,-1.340000033E-1,1.350185205E-1
3.965700900E-2,-7.000000216E-3,-1.300000027E-2,-1.070000008E-1,1.080138888E-1
4.462345500E-2,1.099999994E-2,-9.499999881E-2,4.000000190E-3,9.571833562E-2
4.959022400E-2,4.999999888E-3,1.049999967E-1,-6.300000101E-2,1.225520275E-1
5.455676200E-2,4.000000190E-3,3.500000015E-2,-2.600000054E-2,4.378355901E-2
5.952343800E-2,2.300000004E-2,7.999999821E-2,-9.099999815E-2,1.233288262E-1
6.449020700E-2,-9.999999776E-3,-7.599999756E-2,-1.040000021E-1,1.291975235E-1
6.945673500E-2,-4.000000190E-3,1.209999993E-1,1.000000047E-3,1.210702269E-1
7.442342700E-2,1.400000043E-2,-6.599999964E-2,-9.099999815E-2,1.132828302E-1
7.939016000E-2,-8.399999887E-2,-9.099999815E-2,-1.720000058E-1,2.119457513E-1
8.435692900E-2,-1.600000076E-2,-1.040000021E-1,-6.300000101E-2,1.226417572E-1
8.932346800E-2,-4.399999976E-2,-1.589999944E-1,-6.300000101E-2,1.765955784E-1
9.429014900E-2,-3.000000026E-3,-1.040000021E-1,-1.850000024E-1,2.122498559E-1
9.925691800E-2,-1.120000035E-1,-7.699999958E-2,-6.300000101E-2,1.498065447E-1
1.042234570E-1,-4.399999976E-2,-1.990000010E-1,-1.449999958E-1,2.501239676E-1
1.091901620E-1,-8.399999887E-2,-1.180000007E-1,3.099999949E-2,1.481249471E-1
1.141569310E-1,-1.120000035E-1,-1.309999973E-1,-8.000000380E-3,1.725369527E-1
1.191234700E-1,-2.999999933E-2,-1.309999973E-1,-1.449999958E-1,1.977017907E-1
1.240901710E-1,-4.300000146E-2,-1.309999973E-1,-4.899999872E-2,1.463249783E-1
1.290569400E-1,-5.700000003E-2,-5.000000075E-2,-3.599999845E-2,8.393449807E-2
1.340234790E-1,-8.399999887E-2,-1.309999973E-1,-9.000000358E-2,1.797692959E-1
1.389902610E-1,-1.120000035E-1,-1.720000058E-1,-7.599999756E-2,2.188698298E-1
1.439569530E-1,-4.300000146E-2,-9.000000358E-2,4.000000190E-3,9.982485047E-2
1.489235300E-1,-5.700000003E-2,-1.309999973E-1,-1.040000021E-1,1.767087992E-1
1.538902220E-1,2.400000021E-2,-1.180000007E-1,7.199999690E-2,1.402996783E-1
1.588569920E-1,-4.399999976E-2,-1.449999958E-1,-7.599999756E-2,1.695199056E-1
1.638235500E-1,2.400000021E-2,-7.699999958E-2,-1.309999973E-1,1.538375742E-1
1.687903190E-1,-2.999999933E-2,-1.720000058E-1,-6.300000101E-2,1.856151990E-1
1.737570120E-1,-5.700000003E-2,-1.309999973E-1,-1.169999987E-1,1.846591427E-1
1.787235450E-1,9.999999776E-3,-1.449999958E-1,-1.040000021E-1,1.787204500E-1
1.836903140E-1,-9.799999744E-2,-9.000000358E-2,-1.309999973E-1,1.867217165E-1
1.886570350E-1,-1.600000076E-2,-9.000000358E-2,-8.000000380E-3,9.176056165E-2
1.936238040E-1,3.700000048E-2,-1.309999973E-1,-3.599999845E-2,1.408048266E-1
1.985903420E-1,-9.200000018E-2,-1.099999994E-1,-5.000000075E-2,1.518683640E-1
2.035571310E-1,-3.599999845E-2,-1.089999974E-1,-2.199999988E-2,1.168802777E-1
2.085238230E-1,-2.300000004E-2,-2.700000070E-2,-1.040000021E-1,1.098817568E-1
2.134903610E-1,-1.040000021E-1,-5.499999970E-2,-1.040000021E-1,1.570254784E-1
2.184571030E-1,3.000000026E-3,-5.099999905E-2,-1.040000021E-1,1.158706190E-1
2.234235640E-1,-2.300000004E-2,-1.459999979E-1,-6.300000101E-2,1.606673567E-1
2.283903040E-1,-7.800000161E-2,-6.400000304E-2,-8.999999613E-3,1.012965973E-1
2.333570740E-1,-7.800000161E-2,-1.049999967E-1,-1.309999973E-1,1.851215785E-1
2.383235350E-1,2.800000086E-2,-5.999999866E-2,-8.999999613E-3,6.682065459E-2
2.432902560E-1,-1.209999993E-1,-3.299999982E-2,-8.999999613E-3,1.257417982E-1
2.482570260E-1,-2.600000054E-2,-5.999999866E-2,-1.309999973E-1,1.464137943E-1
2.532237180E-1,1.400000043E-2,-4.600000009E-2,-6.300000101E-2,7.925276114E-2
2.581902220E-1,0.000000000E0,-9.399999678E-2,-7.699999958E-2,1.215113136E-1
2.631569920E-1,-5.299999937E-2,-5.299999937E-2,-7.699999958E-2,1.074569672E-1
2.681234330E-1,-1.200000010E-2,-7.999999821E-2,1.700000092E-2,8.266196071E-2
