"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.644424000E-3,-2.099999972E-2,-1.400000006E-1,-1.040000021E-1,1.756616082E-1
1.448073200E-2,-1.300000027E-2,-1.150000021E-1,-4.899999872E-2,1.256781618E-1
1.944745500E-2,0.000000000E0,8.299999684E-2,2.800000086E-2,8.759565928E-2
2.441391700E-2,-1.099999994E-2,-9.499999881E-2,-6.300000101E-2,1.145207400E-1
2.938068400E-2,9.999999776E-3,6.199999899E-2,-1.879999936E-1,1.982120013E-1
3.434722200E-2,1.000000047E-3,9.200000018E-2,-1.340000033E-1,1.625453811E-1
3.931391500E-2,-8.999999613E-3,5.400000140E-2,-1.059999987E-1,1.193021369E-1
4.428068100E-2,3.000000026E-3,3.900000080E-2,-9.300000221E-2,1.008910327E-1
4.924721900E-2,1.999999955E-2,6.899999827E-2,-1.469999999E-1,1.636154018E-1
5.421391400E-2,-1.400000043E-2,-1.459999979E-1,-9.000000358E-2,1.720813762E-1
5.918045200E-2,-2.400000021E-2,-1.519999951E-1,-1.309999973E-1,2.020915580E-1
6.414722100E-2,-2.400000021E-2,-1.389999986E-1,-7.599999756E-2,1.602279602E-1
6.911394100E-2,-1.099999994E-2,-5.999999866E-2,-1.169999987E-1,1.319469573E-1
7.408047900E-2,1.700000092E-2,7.000000030E-2,-1.309999973E-1,1.494991617E-1
7.904717100E-2,-7.199999690E-2,1.480000019E-1,-1.040000021E-1,1.946894978E-1
8.401373600E-2,8.000000380E-3,1.759999990E-1,1.799999923E-2,1.770988414E-1
8.898050500E-2,-4.000000190E-3,1.889999956E-1,-1.309999973E-1,2.299956469E-1
9.394719500E-2,-1.799999923E-2,1.759999990E-1,-9.000000358E-2,1.984943331E-1
9.891396500E-2,-7.199999690E-2,1.749999970E-1,-7.599999756E-2,2.039240009E-1
1.038804260E-1,-4.000000190E-3,1.350000054E-1,-7.599999756E-2,1.549741949E-1
1.088472280E-1,-4.000000190E-3,1.749999970E-1,-1.850000024E-1,2.546880442E-1
1.138136890E-1,-1.799999923E-2,2.029999942E-1,-7.599999756E-2,2.175063154E-1
1.187804580E-1,-4.500000179E-2,2.300000042E-1,-6.300000101E-2,2.426808649E-1
1.237470330E-1,2.199999988E-2,1.749999970E-1,-1.169999987E-1,2.116553771E-1
1.287138020E-1,-4.000000190E-3,2.300000042E-1,-6.300000101E-2,2.385057694E-1
1.336802770E-1,-4.000000190E-3,1.620000005E-1,-9.000000358E-2,1.853645079E-1
