"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.048178140E-1,1.400000043E-2,8.000000380E-3,-3.599999845E-2,3.944616466E-2
1.097851980E-1,-2.700000070E-2,-2.099999972E-2,-9.000000358E-2,9.628084269E-2
1.147523520E-1,-3.900000080E-2,-3.700000048E-2,1.799999923E-2,5.669215175E-2
1.197196730E-1,-2.800000086E-2,-1.999999955E-2,-1.449999958E-1,1.490268393E-1
1.246870570E-1,1.400000043E-2,4.000000190E-3,-1.040000021E-1,1.050142869E-1
1.296542020E-1,-1.499999966E-2,-6.000000052E-3,-3.599999845E-2,3.945883778E-2
1.346212790E-1,-1.300000027E-2,1.700000092E-2,-1.309999973E-1,1.327365787E-1
1.395886640E-1,-5.099999905E-2,-5.200000107E-2,-4.899999872E-2,8.778382476E-2
1.445559810E-1,7.400000095E-2,3.099999949E-2,-6.300000101E-2,1.020098046E-1
1.495231340E-1,-2.000000095E-3,-1.700000092E-2,-9.000000358E-2,9.161332150E-2
1.544904420E-1,1.600000076E-2,2.800000086E-2,4.000000190E-3,3.249615476E-2
1.594578490E-1,-9.600000083E-2,-4.300000146E-2,-1.040000021E-1,1.479222794E-1
1.644249260E-1,-9.000000358E-2,-2.700000070E-2,-1.309999973E-1,1.612141432E-1
1.693923200E-1,-2.300000004E-2,2.700000070E-2,3.200000152E-2,4.777028509E-2
1.743594740E-1,-3.599999845E-2,1.400000043E-2,-4.899999872E-2,6.239390816E-2
1.793267690E-1,3.099999949E-2,0.000000000E0,-2.199999988E-2,3.801315514E-2
1.842939230E-1,-7.699999958E-2,-8.100000024E-2,4.000000190E-3,1.118302284E-1
1.892612300E-1,-5.000000075E-2,-1.300000027E-2,-2.199999988E-2,5.615158124E-2
1.942285780E-1,4.000000190E-3,5.400000140E-2,4.000000190E-3,5.429548926E-2
1.991959630E-1,1.700000092E-2,1.400000043E-2,-1.580000073E-1,1.595274344E-1
2.041630400E-1,-3.599999845E-2,-5.400000140E-2,-2.199999988E-2,6.852736705E-2
2.091302050E-1,-8.999999613E-3,1.400000043E-2,-7.599999756E-2,7.780102592E-2
2.140975890E-1,-5.000000075E-2,-2.600000054E-2,1.799999923E-2,5.916079846E-2
2.190648970E-1,-7.699999958E-2,-1.300000027E-2,-8.000000380E-3,7.849840730E-2
2.240320810E-1,4.000000190E-3,0.000000000E0,-6.300000101E-2,6.312685743E-2
